Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
1,Adrian Peterson,RB1,—,—,—,—,1,—,1.0
2,Doug Martin,RB2,—,—,—,—,2,—,2.3
3,Jamaal Charles,RB3,—,—,—,—,4,—,3.5
4,Arian Foster,RB4,—,—,—,—,5,—,4.0
5,C.J. Spiller,RB5,—,—,—,—,3,—,5.3
6,Calvin Johnson,WR1,—,—,—,—,7,—,6.0
7,Ray Rice,RB6,—,—,—,—,8,—,7.3
8,LeSean McCoy,RB7,—,—,—,—,6,—,8.0
9,Marshawn Lynch,RB8,—,—,—,—,10,—,8.5
10,Trenton Richardson,RB9,—,—,—,—,9,—,9.3
11,Matt Forte,RB10,—,—,—,—,11,—,11.5
12,Alfred Morris,RB11,—,—,—,—,13,—,12.5
13,Dez Bryant,WR2,—,—,—,—,12,—,12.8
14,A.J. Green,WR3,—,—,—,—,14,—,14.0
15,Jimmy Graham,TE1,—,—,—,—,15,—,15.8
16,Steven Jackson,RB12,—,—,—,—,16,—,17.8
17,Brandon Marshall,WR4,—,—,—,—,17,—,17.8
18,Chris Johnson,RB13,—,—,—,—,18,—,18.0
19,Julio Jones,WR5,—,—,—,—,20,—,20.3
20,Reggie Bush,RB14,—,—,—,—,19,—,20.8
21,Aaron Rodgers   PIT (5),QB1,—,—,—,—,25,—,22.0
22,Drew Brees,QB2,—,—,—,—,22,—,22.0
23,Demaryius Thomas,WR6,—,—,—,—,21,—,22.3
24,Stevan Ridley,RB15,—,—,—,—,23,—,23.8
25,Maurice Jones-Drew,RB16,—,—,—,—,24,—,23.8
26,Larry Fitzgerald,WR7,—,—,—,—,28,—,27.3
27,David Wilson,RB17,—,—,—,—,29,—,27.8
28,DeMarco Murray,RB18,—,—,—,—,27,—,29.8
29,Darren Sproles,RB19,—,—,—,—,26,—,30.0
30,Andre Johnson,WR8,—,—,—,—,32,—,30.3
31,Randall Cobb,WR9,—,—,—,—,31,—,30.3
32,Roddy White,WR10,—,—,—,—,30,—,30.8
33,Frank Gore,RB20,—,—,—,—,33,—,31.3
34,Victor Cruz,WR11,—,—,—,—,34,—,33.8
35,Peyton Manning,QB3,—,—,—,—,36,—,34.0
36,Vincent Jackson,WR12,—,—,—,—,35,—,36.5
37,Rob Gronkowski,TE2,—,—,—,—,41,—,38.8
38,Darren McFadden,RB21,—,—,—,—,37,—,39.0
39,Lamar Miller,RB22,—,—,—,—,39,—,40.0
40,Wes Welker,WR13,—,—,—,—,38,—,41.0
41,Danny Amendola,WR14,—,—,—,—,40,—,41.8
42,Dwayne Bowe,WR15,—,—,—,—,43,—,42.8
43,Eddie Lacy,RB23,—,—,—,—,44,—,43.8
44,Reggie Wayne,WR16,—,—,—,—,42,—,45.0
45,Tom Brady,QB4,—,—,—,—,48,—,45.5
46,Marques Colston,WR17,—,—,—,—,45,—,45.5
47,Jason Witten,TE3,—,—,—,—,46,—,47.3
48,Cam Newton,QB5,—,—,—,—,53,—,48.5
49,Matt Ryan,QB6,—,—,—,—,51,—,50.5
50,Ryan Mathews,RB24,—,—,—,—,47,—,52.3
51,Pierre Garcon,WR18,—,—,—,—,50,—,52.5
52,Vernon Davis,TE4,—,—,—,—,63,—,54.8
53,Hakeem Nicks,WR19,—,—,—,—,59,—,55.5
54,Giovani Bernard,RB25,—,—,—,—,49,—,55.8
55,Jordy Nelson,WR20,—,—,—,—,58,—,55.8
