Rank,Player (Bye),POS,AVG
1,Jahmyr Gibbs   DET (6),RB1,1.0
2,Bijan Robinson   ATL (11),RB2,2.0
3,Ja'Marr Chase   CIN (6),WR1,3.0
4,Puka Nacua   LAR (11),WR2,4.0
5,Jaxon Smith-Njigba   SEA (11),WR3,5.0
6,Christian McCaffrey   SF (8),RB3,6.5
7,Amon-Ra St. Brown   DET (6),WR4,6.5
8,Ashton Jeanty   LV (13),RB4,8.5
9,Jonathan Taylor   IND (13),RB5,9.0
10,Justin Jefferson   MIN (6),WR5,10.5
11,CeeDee Lamb   DAL (14),WR6,10.5
12,James Cook III   BUF (7),RB6,11.5
13,Omarion Hampton   LAC (7),RB7,13.5
14,Saquon Barkley   PHI (10),RB8,15.0
15,Chase Brown   CIN (6),RB9,15.5
16,De'Von Achane   MIA (6),RB10,15.5
17,Kenneth Walker III   KC (5),RB11,16.5
18,Drake London   ATL (11),WR7,18.0
19,A.J. Brown   NE (11),WR8,18.5
20,Brock Bowers   LV (13),TE1,19.5
21,Derrick Henry   BAL (13),RB12,21.5
22,Nico Collins   HOU (8),WR9,21.5
23,George Pickens   DAL (14),WR10,24.0
24,Rashee Rice   KC (5),WR11,25.0
25,DeVonta Smith   PHI (10),WR12,25.5
26,Jeremiyah Love   ARI (14),RB13,25.5
27,Trey McBride   ARI (14),TE2,26.5
28,Chris Olave   NO (8),WR13,27.5
29,Josh Allen   BUF (7),QB1,28.0
30,Breece Hall   NYJ (13),RB14,30.5
31,Zay Flowers   BAL (13),WR14,31.0
32,Kyren Williams   LAR (11),RB15,31.5
33,Emeka Egbuka   TB (10),WR15,33.0
34,Tee Higgins   CIN (6),WR16,35.0
35,Ladd McConkey   LAC (7),WR17,36.0
36,Garrett Wilson   NYJ (13),WR18,36.5
37,Javonte Williams   DAL (14),RB16,37.0
38,Travis Etienne Jr.   NO (8),RB17,38.5
39,Tetairoa McMillan   CAR (5),WR19,39.0
40,Malik Nabers   NYG (8),WR20,40.5
41,Jaylen Waddle   DEN (10),WR21,41.5
42,Terry McLaurin   WAS (7),WR22,42.0
43,Josh Jacobs   GB (11),RB18,42.0
44,Colston Loveland   CHI (10),TE3,43.5
45,Luther Burden III   CHI (10),WR23,43.5
46,Cam Skattebo   NYG (8),RB19,45.0
47,David Montgomery   HOU (8),RB20,48.5
48,Davante Adams   LAR (11),WR24,48.5
49,D'Andre Swift   CHI (10),RB21,50.5
50,Jameson Williams   DET (6),WR25,51.0
51,Mike Evans   SF (8),WR26,51.5
52,Christian Watson   GB (11),WR27,53.0
53,DJ Moore   BUF (7),WR28,53.5
54,Quinshon Judkins   CLE (11),RB22,54.0
55,TreVeyon Henderson   NE (11),RB23,54.5
56,Lamar Jackson   BAL (13),QB2,55.0
