gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0030564,DeAndre Hopkins,WR,2012,0.0,0.0,,,82.0,1405.0,18.0
00-0030521,Justin Hunter,WR,2012,,,,,73.0,1083.0,9.0
00-0030456,Giovani Bernard,RB,2012,,,1228.0,12.0,47.0,490.0,5.0
00-0030431,Robert Woods,WR,2012,,,76.0,0.0,76.0,846.0,11.0
00-0030496,Le'Veon Bell,RB,2012,29.0,0.0,1793.0,12.0,32.0,167.0,1.0
00-0030279,Keenan Allen,WR,2012,8.0,0.0,39.0,1.0,61.0,737.0,6.0
00-0030550,Ace Sanders,WR,2012,16.0,1.0,1.0,0.0,45.0,531.0,9.0
00-0030474,Josh Boyce,WR,2012,,,6.0,1.0,66.0,891.0,7.0
00-0030497,Marcus Lattimore,RB,2012,,,662.0,11.0,26.0,173.0,0.0
00-0030085,Kenny Stills,WR,2012,,,22.0,0.0,82.0,959.0,11.0
00-0030388,Joseph Randle,RB,2012,37.0,0.0,1417.0,14.0,28.0,224.0,0.0
00-0030414,Spencer Ware,RB,2012,0.0,0.0,367.0,1.0,18.0,230.0,1.0
00-0030415,Jawan Jamison,RB,2012,16.0,1.0,1075.0,4.0,28.0,323.0,2.0
00-0030047,Marquess Wilson,WR,2012,,,,,52.0,813.0,5.0
00-0031407,Blake Bortles,QB,2013,3581.0,25.0,272.0,6.0,,,
00-0031325,Sammy Watkins,WR,2013,0.0,0.0,11.0,0.0,101.0,1464.0,12.0
00-0031408,Mike Evans,WR,2013,,,,,69.0,1394.0,12.0
00-0031387,Eric Ebron,TE,2013,,,7.0,0.0,62.0,973.0,3.0
00-0031235,Odell Beckham Jr.,WR,2013,0.0,0.0,58.0,0.0,59.0,1152.0,8.0
00-0031236,Brandin Cooks,WR,2013,,,217.0,2.0,128.0,1730.0,16.0
00-0031409,Johnny Manziel,QB,2013,4114.0,37.0,759.0,9.0,,,
00-0031359,Kelvin Benjamin,WR,2013,,,,,54.0,1011.0,15.0
00-0031237,Teddy Bridgewater,QB,2013,3970.0,31.0,78.0,1.0,,,
00-0031418,Austin Seferian-Jenkins,TE,2013,,,,,36.0,450.0,8.0
00-0031431,Marqise Lee,WR,2013,,,7.0,0.0,57.0,791.0,4.0
00-0031299,Jordan Matthews,WR,2013,,,54.0,0.0,112.0,1477.0,7.0
00-0031257,Paul Richardson,WR,2013,75.0,1.0,7.0,0.0,83.0,1343.0,10.0
00-0031042,Jace Amaro,TE,2013,,,,,106.0,1352.0,7.0
00-0031044,Troy Niklas,TE,2013,,,,,32.0,498.0,5.0
00-0031381,Davante Adams,WR,2013,,,,,131.0,1718.0,24.0
00-0031413,Bishop Sankey,RB,2013,,,1870.0,20.0,28.0,304.0,1.0
00-0031301,Jeremy Hill,RB,2013,,,1401.0,16.0,18.0,181.0,0.0
00-0031344,Cody Latimer,WR,2013,,,,,72.0,1096.0,9.0
00-0031428,Allen Robinson,WR,2013,,,36.0,0.0,97.0,1432.0,6.0
00-0031382,Jarvis Landry,WR,2013,,,,,77.0,1193.0,10.0
00-0031302,C.J. Fiedorowicz,TE,2013,,,,,30.0,299.0,6.0
00-0031391,Tre Mason,RB,2013,,,1816.0,23.0,12.0,163.0,1.0
00-0030990,Josh Huff,WR,2013,,,28.0,0.0,62.0,1140.0,12.0
00-0031339,Donte Moncrief,WR,2013,,,,,59.0,938.0,6.0
00-0031376,Jerick McKinnon,RB,2013,,,125.0,1.0,,,
00-0031384,Richard Rodgers,TE,2013,,,9.0,0.0,39.0,608.0,1.0
00-0031285,Devonta Freeman,RB,2013,,,1016.0,14.0,22.0,278.0,1.0
00-0031053,Jalen Saunders,WR,2013,,,44.0,0.0,61.0,729.0,8.0
00-0031055,Andre Williams,RB,2013,,,2177.0,18.0,,,
00-0031057,Ka'Deem Carey,RB,2013,,,1885.0,19.0,26.0,173.0,1.0
00-0031060,De'Anthony Thomas,RB,2013,,,594.0,8.0,22.0,246.0,1.0
00-0031062,James White,RB,2014,,,153.0,3.0,3.0,10.0,0.0
00-0031075,Alfred Blue,RB,2013,,,343.0,1.0,5.0,62.0,0.0
00-0031187,Robert Herron,WR,2013,,,12.0,0.0,72.0,937.0,9.0
00-0031078,Lache Seastrunk,RB,2013,,,1177.0,11.0,,,
00-0031189,T.J. Jones,WR,,,,,,,,
00-0031315,Matt Hazel,WR,2013,,,,,6.0,83.0,0.0
00-0031023,Quincy Enunwa,WR,2013,,,-1.0,0.0,51.0,753.0,12.0
00-0031085,Jay Prosch,RB,2013,,,,,5.0,95.0,1.0
00-0031243,Storm Johnson,RB,2013,,,1139.0,14.0,30.0,260.0,3.0
00-0031291,James Wright,WR,2012,,,,,18.0,242.0,0.0
00-0031271,Trey Millard,RB,2013,,,97.0,1.0,11.0,78.0,1.0
00-0031503,Jameis Winston,QB,2014,3907.0,25.0,65.0,3.0,,,
00-0032268,Marcus Mariota,QB,2014,4454.0,42.0,770.0,15.0,1.0,26.0,1.0
00-0031544,Amari Cooper,WR,2014,,,23.0,0.0,124.0,1727.0,16.0
00-0031545,Kevin White,WR,2014,,,,,109.0,1447.0,10.0
00-0032241,Todd Gurley,RB,,,,,,,,
00-0031547,DeVante Parker,WR,2014,,,,,43.0,855.0,5.0
00-0032144,Melvin Gordon,RB,2014,,,2587.0,29.0,19.0,153.0,3.0
00-0031549,Nelson Agholor,WR,2014,,,3.0,0.0,104.0,1313.0,12.0
00-0032054,Breshad Perriman,WR,2014,,,0.0,0.0,50.0,1044.0,9.0
00-0032208,Phillip Dorsett,WR,2014,,,-6.0,0.0,36.0,871.0,10.0
00-0032209,T.J. Yeldon,RB,2014,,,979.0,11.0,15.0,180.0,1.0
00-0031934,Devin Smith,WR,2014,,,,,33.0,931.0,12.0
00-0032218,Dorial Green-Beckham,WR,2013,,,3.0,0.0,59.0,883.0,12.0
00-0032055,Devin Funchess,WR,2014,,,-11.0,0.0,62.0,733.0,4.0
00-0032104,Ameer Abdullah,RB,2014,,,1611.0,19.0,22.0,269.0,3.0
00-0031558,Maxx Williams,TE,2014,,,,,36.0,569.0,8.0
00-0032211,Tyler Lockett,WR,2014,0.0,0.0,17.0,0.0,106.0,1515.0,11.0
00-0031560,Jaelen Strong,WR,2014,,,,,82.0,1165.0,10.0
00-0032058,Tevin Coleman,RB,2014,,,2036.0,15.0,25.0,141.0,0.0
00-0032128,Chris Conley,WR,2014,,,,,36.0,657.0,8.0
00-0032257,Duke Johnson,RB,,,,,,,,
00-0032214,Tyler Kroft,TE,2014,,,,,24.0,269.0,0.0
00-0032166,Sammie Coates,WR,2014,,,,,34.0,741.0,4.0
00-0032245,Sean Mannion,QB,2014,3164.0,15.0,-306.0,1.0,,,
00-0032227,Jeff Heuerman,TE,2014,,,,,17.0,207.0,2.0
00-0032200,Ty Montgomery,WR,2014,,,144.0,1.0,61.0,604.0,3.0
00-0031939,Matt Jones,RB,2014,,,817.0,6.0,11.0,65.0,1.0
00-0031941,Jamison Crowder,WR,2014,12.0,1.0,9.0,0.0,85.0,1044.0,6.0
00-0031569,Jeremy Langford,RB,2014,,,1522.0,22.0,11.0,62.0,0.0
00-0032130,Jalston Fowler,RB,2014,,,69.0,0.0,11.0,129.0,2.0
00-0032062,Blake Bell,TE,2014,,,4.0,0.0,16.0,214.0,4.0
00-0031577,Javorius Allen,RB,2014,,,1489.0,11.0,41.0,458.0,1.0
00-0032063,Mike Davis,RB,2014,,,982.0,9.0,32.0,368.0,2.0
00-0032133,David Cobb,RB,2014,9.0,0.0,1629.0,13.0,16.0,162.0,0.0
00-0032170,Rashad Greene,WR,,,,,,,,
00-0031585,MyCole Pruitt,TE,2014,,,,,10.0,136.0,0.0
00-0031588,Stefon Diggs,WR,2014,,,28.0,0.0,62.0,792.0,5.0
00-0031589,Brett Hundley,QB,2014,3155.0,22.0,644.0,10.0,1.0,9.0,0.0
00-0031590,Jay Ajayi,RB,2014,,,1823.0,28.0,50.0,535.0,4.0
00-0032152,Karlos Williams,RB,2014,,,689.0,11.0,29.0,265.0,1.0
00-0031594,Tony Lippett,WR,2014,,,51.0,1.0,65.0,1198.0,11.0
00-0032134,C.J. Uzomah,TE,2014,-1.0,0.0,1.0,0.0,11.0,145.0,3.0
00-0032112,JJ Nelson,WR,,,,,,,,
00-0032135,Jesse James,TE,2014,,,,,38.0,396.0,3.0
00-0032113,Kenny Bell,WR,2014,,,,,47.0,788.0,6.0
00-0031595,Michael Burton,RB,2014,-2.0,0.0,2.0,0.0,15.0,150.0,0.0
00-0031598,Nick Boyle,TE,2013,,,,,4.0,47.0,0.0
00-0031951,James O'Shaughnessy,TE,2013,,,,,5.0,57.0,0.0
00-0031600,Keith Mumphery,WR,2014,,,85.0,1.0,26.0,495.0,3.0
00-0032115,Kaelin Clay,WR,2014,,,4.0,0.0,43.0,523.0,4.0
