gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0030564,WR,6-1,214.0,4.57,15.0,36.0,115.0,,4.5
00-0030521,WR,6-4,196.0,4.44,,39.5,136.0,,4.33
00-0030456,RB,5-8,202.0,4.53,19.0,33.5,122.0,6.91,4.12
00-0030431,WR,6-0,201.0,4.51,14.0,33.5,117.0,7.15,4.47
00-0030496,RB,6-1,230.0,4.6,24.0,31.5,118.0,6.75,4.24
00-0030279,WR,6-2,206.0,4.58,,,,,
00-0030550,WR,5-7,173.0,4.58,7.0,32.0,117.0,6.81,4.37
00-0030474,WR,5-11,206.0,4.38,22.0,34.0,131.0,6.68,4.1
00-0030497,RB,5-11,221.0,4.65,,,,,
00-0030085,WR,6-0,194.0,4.38,16.0,33.5,124.0,,4.35
00-0030388,RB,6-0,204.0,4.63,,35.0,123.0,,
00-0030414,RB,5-10,228.0,4.62,,,,,
00-0030415,RB,5-7,203.0,4.68,20.0,29.0,110.0,,
00-0030047,WR,6-3,194.0,4.51,7.0,34.5,122.0,6.65,4.33
00-0031407,QB,6-5,232.0,4.93,,32.5,115.0,7.08,4.21
00-0031325,WR,6-1,211.0,4.43,16.0,34.0,126.0,6.95,4.34
00-0031408,WR,6-5,231.0,4.53,12.0,37.0,,7.08,4.26
00-0031387,TE,6-4,250.0,4.6,24.0,32.0,120.0,,
00-0031235,WR,5-11,198.0,4.38,7.0,38.5,122.0,6.69,3.94
00-0031236,WR,5-10,189.0,4.33,16.0,36.0,120.0,6.76,3.81
00-0031409,QB,6-0,207.0,4.68,,31.5,113.0,6.75,4.03
00-0031359,WR,6-5,240.0,4.61,13.0,32.5,119.0,7.33,4.39
00-0031237,QB,6-2,214.0,,,30.0,113.0,7.17,4.2
00-0031418,TE,6-5,262.0,4.75,20.0,,,,
00-0031431,WR,6-0,192.0,4.52,,38.0,127.0,,4.01
00-0031299,WR,6-3,212.0,4.46,21.0,35.5,120.0,6.95,4.18
00-0031257,WR,6-0,175.0,4.4,,38.0,124.0,7.09,
00-0031042,TE,6-5,265.0,4.74,28.0,33.0,118.0,7.42,4.3
00-0031044,TE,6-6,270.0,4.84,27.0,32.0,114.0,7.57,4.55
00-0031381,WR,6-1,212.0,4.56,14.0,39.5,123.0,6.82,4.3
00-0031413,RB,5-9,209.0,4.49,26.0,35.5,126.0,6.75,4.0
00-0031301,RB,6-1,233.0,4.56,20.0,29.0,113.0,,
00-0031344,WR,6-2,215.0,4.52,23.0,,,,
00-0031428,WR,6-3,220.0,4.6,,39.0,127.0,7.0,4.0
00-0031382,WR,5-11,205.0,4.65,12.0,28.5,110.0,,
00-0031302,TE,6-5,265.0,4.76,25.0,31.5,116.0,7.1,4.26
00-0031391,RB,5-8,207.0,4.5,,38.5,126.0,,4.15
00-0030990,WR,5-11,206.0,4.51,14.0,35.5,116.0,,
00-0031339,WR,6-2,221.0,4.4,13.0,39.5,132.0,7.02,4.3
00-0031376,RB,5-9,209.0,4.41,32.0,40.5,132.0,6.83,4.12
00-0031384,TE,6-4,257.0,4.87,16.0,31.5,116.0,7.23,4.47
00-0031285,RB,5-8,206.0,4.58,,31.5,118.0,7.11,4.26
00-0031053,WR,5-9,165.0,4.44,,34.0,122.0,,
00-0031055,RB,5-11,230.0,4.56,,38.0,129.0,7.27,4.06
00-0031057,RB,5-9,207.0,4.69,19.0,32.5,115.0,7.08,4.38
00-0031060,RB,5-9,174.0,4.39,8.0,32.0,124.0,,
00-0031062,RB,5-9,204.0,4.57,23.0,32.0,114.0,7.05,4.2
00-0031075,RB,6-2,223.0,4.63,13.0,32.0,121.0,7.15,4.5
00-0031187,WR,5-9,193.0,4.48,18.0,35.5,125.0,6.84,4.27
00-0031078,RB,5-9,201.0,4.51,15.0,41.5,134.0,,
00-0031189,WR,6-0,188.0,4.46,,33.0,119.0,6.82,4.27
00-0031315,WR,6-1,198.0,4.5,15.0,36.5,118.0,7.08,4.2
00-0031023,WR,6-2,225.0,4.41,19.0,,,,
00-0031085,RB,,,,,,,,
00-0031243,RB,6-0,209.0,4.6,16.0,35.5,118.0,,
00-0031291,WR,,,,,,,,
00-0031271,RB,6-2,247.0,4.64,,,,,
00-0031503,QB,6-4,231.0,4.97,,28.5,103.0,7.16,4.36
00-0032268,QB,6-4,222.0,4.52,,36.0,121.0,6.87,4.11
00-0031544,WR,6-1,211.0,4.42,,33.0,120.0,6.71,3.98
00-0031545,WR,6-3,215.0,4.35,23.0,36.5,123.0,6.92,4.14
00-0032241,RB,6-1,222.0,4.52,17.0,,,,
00-0031547,WR,6-3,209.0,4.45,17.0,36.5,125.0,,
00-0032144,RB,6-1,215.0,4.52,19.0,35.0,126.0,7.04,4.07
00-0031549,WR,6-0,198.0,4.42,12.0,,,,
00-0032054,WR,6-2,212.0,,,,,,
00-0032208,WR,5-10,185.0,4.33,13.0,37.0,122.0,6.7,4.11
00-0032209,RB,6-1,226.0,4.61,22.0,36.0,117.0,7.19,4.22
00-0031934,WR,6-0,196.0,4.42,10.0,39.0,122.0,,4.15
00-0032218,WR,6-5,237.0,4.49,13.0,33.5,119.0,6.89,4.45
00-0032055,WR,6-4,232.0,4.7,17.0,38.5,122.0,,
