rank,composite,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,abs_corr_dynasty_ppr,impact_0_100,abs_corr_rookie_ppr
1,score_pre_draft_fantasy,308,0.4431,0.0,0.5138,0.0,0.4431,100.0,0.4431
2,score_draft_capital,424,0.4378,0.0,0.4893,0.0,0.4378,98.8,0.4378
3,score_timing,424,0.2624,0.0,0.2727,0.0,0.2624,59.2,0.2624
4,score_cfb_receiving,380,0.2233,1.1e-05,0.2298,6e-06,0.2233,50.4,0.2233
5,score_cfb_rushing,309,0.1965,0.000513,0.1721,0.002402,0.1965,44.3,0.1965
6,score_combine_speed,342,0.1688,0.001736,0.1497,0.005525,0.1688,38.1,0.1688
7,score_recruiting,360,0.1407,0.007503,0.1363,0.009634,0.1407,31.8,0.1407
8,score_combine_explosion,330,0.123,0.025435,0.1496,0.006487,0.123,27.8,0.123
9,score_team_context,424,0.0876,0.071653,0.1301,0.00731,0.0876,19.8,0.0876
10,score_cfb_passing,105,-0.0228,0.817267,0.0424,0.667271,0.0228,5.1,0.0228
11,score_combine_size,382,0.0006,0.990917,-0.0204,0.690793,0.0006,0.1,0.0006
