synthetic_adp_rank,player_name,position,position_rank,team,player_type,projected_ppr_17,projected_ppg,vorp_17,projected_season_ppr,expected_games,replacement_ppr_17,prior_ppr,prior_games,ppr_low,ppr_high,target_season,source_season,draft_year,gsis_id,synthetic_adp
1,Jahmyr Gibbs,RB,1,DET,veteran,391.69,23.04,168.76,299.6,13.0,222.93,366.9,17.0,84.76141738705316,361.0944118205893,2026,2025.0,,00-0039139,1.0
2,Bijan Robinson,RB,2,ATL,veteran,363.39,21.38,140.46,277.96,13.0,222.93,370.8,17.0,71.57460805126809,384.41237644124766,2026,2025.0,,00-0038542,2.0
3,Amon-Ra St. Brown,WR,1,DET,veteran,322.42,18.97,118.01,261.51,13.79,204.41,324.0,17.0,84.64683520415271,319.167103879325,2026,2025.0,,00-0036963,3.0
4,Ja'Marr Chase,WR,2,CIN,veteran,321.71,18.92,117.3,260.94,13.79,204.41,313.6,16.0,92.38153839752827,325.21321046928233,2026,2025.0,,00-0036900,4.0
5,Jonathan Taylor,RB,3,IND,veteran,335.6,19.74,112.67,256.7,13.0,222.93,362.3,17.0,77.37528737744715,338.4857115249662,2026,2025.0,,00-0036223,5.0
6,Trey McBride,TE,1,ARI,veteran,272.67,16.04,104.01,209.18,13.04,168.66,315.9,17.0,148.38865639294173,247.4720173296736,2026,2025.0,,00-0037744,6.0
7,Jaxon Smith-Njigba,WR,3,SEA,veteran,305.25,17.96,100.84,247.58,13.79,204.41,359.9,17.0,93.24265167699792,328.4646591834289,2026,2025.0,,00-0038543,7.0
8,Drake London,WR,4,ATL,veteran,303.58,17.86,99.17,246.23,13.79,204.41,201.9,12.0,90.6874261952247,295.4478111518094,2026,2025.0,,00-0037238,8.0
9,Lamar Jackson,QB,1,BAL,veteran,412.34,24.26,92.56,322.55,13.3,319.78,214.86,13.0,148.6761440058578,376.84846063997435,2026,2025.0,,00-0034796,9.0
10,Justin Jefferson,WR,5,MIN,veteran,294.16,17.3,89.75,238.59,13.79,204.41,201.5,17.0,76.63853364686592,312.1652458988988,2026,2025.0,,00-0036322,10.0
11,Josh Allen,QB,2,BUF,veteran,404.03,23.77,84.25,316.05,13.3,319.78,364.62,16.0,175.68271834280526,366.0314466606821,2026,2025.0,,00-0034857,11.0
12,CeeDee Lamb,WR,6,DAL,veteran,288.47,16.97,84.06,233.97,13.79,204.41,200.9,13.0,59.635919960733304,291.89917690303173,2026,2025.0,,00-0036358,12.0
13,Puka Nacua,WR,7,LA,veteran,287.07,16.89,82.66,232.84,13.79,204.41,375.0,16.0,82.64058084639774,328.17558675433617,2026,2025.0,,00-0039075,13.0
14,Travis Etienne,RB,4,JAX,veteran,301.56,17.74,78.63,230.66,13.0,222.93,253.9,17.0,62.17448305329336,265.4555766410387,2026,2025.0,,00-0036973,14.0
15,De'Von Achane,RB,5,MIA,veteran,299.26,17.6,76.33,228.9,13.0,222.93,322.8,16.0,80.68076283922485,364.15762595958347,2026,2025.0,,00-0039040,15.0
