gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,y1_rank_pct_pos,y2_rank_pct_pos,y3_rank_pct_pos,y3_vs_y1_delta,y3_vs_y2_delta,slow_start,strong_y3,late_bloomer_y3,slow_y1_y2_strong_y3,trajectory_archetype
00-0030564,DeAndre Hopkins,WR,2013,2013.0,142.2,231.0,331.09999999999997,1,704.3,234.76666666666665,14.672916666666666,83.33333333333334,100.0,100.0,188.89999999999998,100.09999999999997,False,True,False,False,steady
00-0030521,Justin Hunter,WR,2013,2013.0,77.39999999999999,95.8,54.4,1,227.6,75.86666666666666,6.694117647058824,33.33333333333333,33.33333333333333,16.666666666666664,-22.999999999999993,-41.4,False,False,False,False,steady
00-0030456,Giovani Bernard,RB,2013,2013.0,222.9,187.9,181.2,1,592.0,197.33333333333334,13.155555555555555,100.0,50.0,100.0,-41.70000000000002,-6.700000000000017,False,True,False,False,steady
00-0030431,Robert Woods,WR,2013,2013.0,120.3,164.9,118.2,1,403.4,134.46666666666667,9.168181818181818,50.0,50.0,66.66666666666666,-2.0999999999999943,-46.7,False,False,False,False,steady
00-0030496,Le'Veon Bell,RB,2013,2013.0,216.9,370.5,111.2,1,698.6,232.86666666666667,19.96,50.0,100.0,50.0,-105.7,-259.3,False,False,False,False,steady
00-0030279,Keenan Allen,WR,2013,2013.0,221.6,177.3,163.5,1,562.4,187.46666666666667,15.2,100.0,83.33333333333334,83.33333333333334,-58.099999999999994,-13.800000000000011,False,True,False,False,steady
00-0030550,Ace Sanders,WR,2013,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0030474,Josh Boyce,WR,2013,2013.0,21.1,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0030497,Marcus Lattimore,RB,2013,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0030085,Kenny Stills,WR,2013,2013.0,127.1,173.9,89.0,1,390.0,130.0,8.478260869565217,66.66666666666666,66.66666666666666,50.0,-38.099999999999994,-84.9,False,False,False,False,steady
00-0030388,Joseph Randle,RB,2013,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0030414,Spencer Ware,RB,2013,2013.0,1.0,,82.8,0,,,,,,,81.8,,False,False,False,False,limited_sample
00-0030415,Jawan Jamison,RB,2013,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0030047,Marquess Wilson,WR,2013,2013.0,3.3,37.0,80.4,1,120.7,40.233333333333334,5.747619047619048,16.666666666666664,16.666666666666664,33.33333333333333,77.10000000000001,43.400000000000006,True,False,False,False,steady
00-0031407,Blake Bortles,QB,2014,2014.0,168.22,316.12,271.1,1,755.44,251.81333333333336,16.422608695652176,100.0,100.0,100.0,102.88000000000002,-45.01999999999998,False,True,False,False,steady
00-0031325,Sammy Watkins,WR,2014,2014.0,198.0,218.8,83.0,1,499.8,166.6,13.50810810810811,78.57142857142857,64.28571428571429,35.714285714285715,-115.0,-135.8,False,False,False,False,early_peak
00-0031408,Mike Evans,WR,2014,2014.0,245.1,210.60000000000002,304.1,1,759.8000000000001,253.26666666666668,16.51739130434783,92.85714285714286,57.14285714285714,100.0,59.00000000000003,93.5,False,True,False,False,steady
00-0031387,Eric Ebron,TE,2014,2014.0,55.8,130.7,144.2,1,330.7,110.23333333333333,8.47948717948718,100.0,80.0,100.0,88.39999999999999,13.5,False,True,False,False,steady
00-0031235,Odell Beckham Jr.,WR,2014,2014.0,297.0,319.3,296.6,1,912.9,304.3,21.230232558139534,100.0,100.0,92.85714285714286,-0.39999999999997726,-22.69999999999999,False,True,False,False,steady
00-0031236,Brandin Cooks,WR,2014,2014.0,139.3,253.6,246.3,1,639.2,213.0666666666667,15.590243902439026,64.28571428571429,78.57142857142857,78.57142857142857,107.0,-7.299999999999983,False,True,False,False,steady
00-0031409,Johnny Manziel,QB,2014,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031359,Kelvin Benjamin,WR,2014,2014.0,225.79999999999998,,197.10000000000002,0,,,,,,,-28.69999999999996,,False,False,False,False,limited_sample
00-0031237,Teddy Bridgewater,QB,2014,2014.0,183.66,200.44,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031418,Austin Seferian-Jenkins,TE,2014,2014.0,53.1,78.8,34.4,1,166.3,55.43333333333334,6.652,60.0,60.0,40.0,-18.700000000000003,-44.4,False,False,False,False,steady
00-0031431,Marqise Lee,WR,2014,2014.0,86.1,43.9,180.4,1,310.4,103.46666666666665,8.389189189189189,35.714285714285715,28.57142857142857,57.14285714285714,94.30000000000001,136.5,False,False,False,True,late_bloomer_y3
00-0031299,Jordan Matthews,WR,2014,2014.0,202.2,230.7,171.4,1,604.3,201.4333333333333,13.13695652173913,85.71428571428571,71.42857142857143,50.0,-30.799999999999983,-59.29999999999998,False,False,False,False,early_peak
00-0031257,Paul Richardson,WR,2014,2014.0,62.1,5.0,56.3,1,123.39999999999999,41.13333333333333,5.3652173913043475,28.57142857142857,7.142857142857142,21.428571428571427,-5.800000000000004,51.3,True,False,False,False,steady
00-0031042,Jace Amaro,TE,2014,2014.0,84.5,,8.9,0,,,,,,,-75.6,,False,False,False,False,limited_sample
