gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,games_y1,games_y2,games_y3,dynasty_seasons_observed,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,dynasty_games_y1_y3
00-0030564,DeAndre Hopkins,WR,2013,2013.0,142.2,231.0,331.09999999999997,16.0,16.0,16.0,3,1,704.3,234.76666666666665,14.672916666666666,48.0
00-0030521,Justin Hunter,WR,2013,2013.0,77.39999999999999,95.8,54.4,13.0,12.0,9.0,3,1,227.6,75.86666666666666,6.694117647058824,34.0
00-0030456,Giovani Bernard,RB,2013,2013.0,222.9,187.9,181.2,16.0,13.0,16.0,3,1,592.0,197.33333333333334,13.155555555555555,45.0
00-0030431,Robert Woods,WR,2013,2013.0,120.3,164.9,118.2,14.0,16.0,14.0,3,1,403.4,134.46666666666667,9.168181818181818,44.0
00-0030496,Le'Veon Bell,RB,2013,2013.0,216.9,370.5,111.2,13.0,16.0,6.0,3,1,698.6,232.86666666666667,19.96,35.0
00-0030279,Keenan Allen,WR,2013,2013.0,221.6,177.3,163.5,15.0,14.0,8.0,3,1,562.4,187.46666666666667,15.2,37.0
00-0030550,Ace Sanders,WR,2013,,,,,,,,0,0,,,,
00-0030474,Josh Boyce,WR,2013,2013.0,21.1,,,6.0,,,1,0,,,,
00-0030497,Marcus Lattimore,RB,2013,,,,,,,,0,0,,,,
00-0030085,Kenny Stills,WR,2013,2013.0,127.1,173.9,89.0,16.0,15.0,15.0,3,1,390.0,130.0,8.478260869565217,46.0
00-0030388,Joseph Randle,RB,2013,,,,,,,,0,0,,,,
00-0030414,Spencer Ware,RB,2013,2013.0,1.0,,82.8,1.0,,9.0,2,0,,,,
00-0030415,Jawan Jamison,RB,2013,,,,,,,,0,0,,,,
00-0030047,Marquess Wilson,WR,2013,2013.0,3.3,37.0,80.4,3.0,7.0,11.0,3,1,120.7,40.233333333333334,5.747619047619048,21.0
00-0031407,Blake Bortles,QB,2014,2014.0,168.22,316.12,271.1,14.0,16.0,16.0,3,1,755.44,251.81333333333336,16.422608695652176,46.0
00-0031325,Sammy Watkins,WR,2014,2014.0,198.0,218.8,83.0,16.0,13.0,8.0,3,1,499.8,166.6,13.50810810810811,37.0
00-0031408,Mike Evans,WR,2014,2014.0,245.1,210.60000000000002,304.1,15.0,15.0,16.0,3,1,759.8000000000001,253.26666666666668,16.51739130434783,46.0
00-0031387,Eric Ebron,TE,2014,2014.0,55.8,130.7,144.2,12.0,14.0,13.0,3,1,330.7,110.23333333333333,8.47948717948718,39.0
00-0031235,Odell Beckham Jr.,WR,2014,2014.0,297.0,319.3,296.6,12.0,15.0,16.0,3,1,912.9,304.3,21.230232558139534,43.0
