gsis_id,player_name,position,draft_year,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos
00-0030564,DeAndre Hopkins,WR,2013,2013.0,142.2,16.0,8.8875,4.0
00-0030521,Justin Hunter,WR,2013,2013.0,77.39999999999999,13.0,5.953846153846153,10.0
00-0030456,Giovani Bernard,RB,2013,2013.0,222.9,16.0,13.93125,2.0
00-0030431,Robert Woods,WR,2013,2013.0,120.3,14.0,8.592857142857143,7.0
00-0030496,Le'Veon Bell,RB,2013,2013.0,216.9,13.0,16.684615384615384,3.0
00-0030279,Keenan Allen,WR,2013,2013.0,221.6,15.0,14.773333333333333,1.0
00-0030550,Ace Sanders,WR,2013,,,,,
00-0030474,Josh Boyce,WR,2013,2013.0,21.1,6.0,3.516666666666667,13.0
00-0030497,Marcus Lattimore,RB,2013,,,,,
00-0030085,Kenny Stills,WR,2013,2013.0,127.1,16.0,7.94375,6.0
00-0030388,Joseph Randle,RB,2013,,,,,
00-0030414,Spencer Ware,RB,2013,2013.0,1.0,1.0,1.0,15.0
00-0030415,Jawan Jamison,RB,2013,,,,,
00-0030047,Marquess Wilson,WR,2013,2013.0,3.3,3.0,1.0999999999999999,16.0
00-0031407,Blake Bortles,QB,2014,2014.0,168.22,14.0,12.015714285714285,3.0
00-0031325,Sammy Watkins,WR,2014,2014.0,198.0,16.0,12.375,5.0
00-0031408,Mike Evans,WR,2014,2014.0,245.1,15.0,16.34,2.0
00-0031387,Eric Ebron,TE,2014,2014.0,55.8,12.0,4.6499999999999995,2.0
00-0031235,Odell Beckham Jr.,WR,2014,2014.0,297.0,12.0,24.75,1.0
00-0031236,Brandin Cooks,WR,2014,2014.0,139.3,10.0,13.930000000000001,8.0
00-0031409,Johnny Manziel,QB,2014,,,,,
00-0031359,Kelvin Benjamin,WR,2014,2014.0,225.79999999999998,16.0,14.112499999999999,3.0
00-0031237,Teddy Bridgewater,QB,2014,2014.0,183.66,13.0,14.127692307692307,2.0
