feature,dataset_block,n_pairs,missing_rate,pearson_r,pearson_p,spearman_r,spearman_p,pointbiserial_r,pointbiserial_p,direction,abs_corr_rookie_ppr,impact_0_100
draft_overall,draft_capital,736,0.0,-0.5704,0.0,-0.5895,0.0,-0.4864,0.0,-,0.5704,100.0
draft_round,draft_capital,736,0.0,-0.5624,0.0,-0.5784,0.0,-0.4825,0.0,-,0.5624,98.6
ff_adp_rank,pre_draft_fantasy,511,0.3137,-0.5331,0.0,-0.6116,0.0,-0.447,0.0,-,0.5331,93.5
ff_adp,pre_draft_fantasy,511,0.3137,-0.5073,0.0,-0.5822,0.0,-0.4084,0.0,-,0.5073,88.9
age_at_draft,timing,736,0.0739,-0.2589,0.0,-0.2972,0.0,-0.214,0.0,-,0.2589,45.4
cfb_pass_td,college_production,176,0.7443,0.2288,0.002252,0.1074,0.155889,0.1394,0.064991,+,0.2288,40.1
cfb_pass_yards,college_production,176,0.7443,0.191,0.011113,0.1435,0.057392,0.1053,0.164097,+,0.191,33.5
recruiting_stars,recruiting,615,0.1628,0.1769,1e-05,0.1384,0.00058,0.0902,0.025324,+,0.1769,31.0
cone,combine,344,0.5884,-0.1533,0.004362,-0.1628,0.002451,-0.1492,0.005546,-,0.1533,26.9
forty,combine,548,0.2937,-0.1473,0.000539,-0.1681,7.7e-05,-0.0948,0.026538,-,0.1473,25.8
cfb_rec_yards,college_production,630,0.1618,0.14,0.000423,0.143,0.000319,0.1177,0.003088,+,0.14,24.5
cfb_rush_td,college_production,502,0.3187,0.1358,0.002298,0.0993,0.026098,0.1034,0.020472,+,0.1358,23.8
shuttle,combine,362,0.5564,-0.1354,0.009897,-0.1269,0.015716,-0.0844,0.10885,-,0.1354,23.7
cfb_rec,college_production,630,0.1618,0.1347,0.000698,0.1553,9.1e-05,0.1152,0.00379,+,0.1347,23.6
cfb_rec_td,college_production,630,0.1618,0.1312,0.00096,0.1028,0.009806,0.091,0.022293,+,0.1312,23.0
recruiting_rank,recruiting,615,0.1628,-0.1237,0.002123,-0.1514,0.000165,-0.0673,0.095455,-,0.1237,21.7
broad_jump,combine,522,0.3337,0.1022,0.019464,0.1653,0.000149,0.102,0.019743,+,0.1022,17.9
cfb_rush_yards,college_production,502,0.3187,0.1008,0.023922,0.12,0.007109,0.0693,0.120742,+,0.1008,17.7
wt,combine,650,0.1319,-0.0986,0.011922,-0.0767,0.050487,-0.0019,0.960457,-,0.0986,17.3
vertical,combine,543,0.3077,0.0892,0.037638,0.1136,0.008053,0.0865,0.043993,+,0.0892,15.6
ht_inches,combine,649,0.1329,-0.0876,0.025655,-0.0935,0.017167,0.0017,0.965818,-,0.0876,15.4
hs_class,timing,736,0.007,0.0871,0.018131,0.086,0.019612,0.0644,0.080705,+,0.0871,15.3
bench,combine,352,0.5764,-0.0368,0.490914,-0.0334,0.532493,0.031,0.5616,-,0.0368,6.5
off_rush_yards,team_context,556,0.3636,-0.0233,0.584132,-0.0253,0.55187,-0.0275,0.517214,-,0.0233,4.1
sos_opp_win_pct,team_context,565,0.2887,-0.0224,0.594653,-0.0142,0.736321,-0.0114,0.787716,-,0.0224,3.9
off_pass_rate_proxy,team_context,556,0.3636,0.0144,0.734714,-0.0107,0.801726,-0.0021,0.960038,+,0.0144,2.5
off_pass_yards,team_context,556,0.3636,-0.0122,0.77435,-0.0644,0.129138,-0.0643,0.130207,-,0.0122,2.1
team_opportunity_ppr,team_context,542,0.3197,-0.0052,0.904777,-0.007,0.871275,-0.0623,0.147327,-,0.0052,0.9
