feature,dataset_block,n_pairs,missing_rate,pearson_r,pearson_p,spearman_r,spearman_p,pointbiserial_r,pointbiserial_p,direction,abs_corr_rookie_ppr,impact_0_100
draft_overall,draft_capital,305,0.0,-0.5324,0.0,-0.5609,0.0,-0.4282,0.0,-,0.5324,100.0
draft_round,draft_capital,305,0.0,-0.5174,0.0,-0.5379,0.0,-0.4175,0.0,-,0.5174,97.2
cfb_pass_td,college_production,78,0.7443,0.5094,2e-06,0.4015,0.000269,0.0889,0.438746,+,0.5094,95.7
cfb_pass_yards,college_production,78,0.7443,0.4715,1.3e-05,0.4226,0.000116,0.0428,0.709914,+,0.4715,88.6
ff_adp_rank,pre_draft_fantasy,230,0.2459,-0.4217,0.0,-0.47,0.0,-0.3219,1e-06,-,0.4217,79.2
ff_adp,pre_draft_fantasy,230,0.2459,-0.3965,0.0,-0.4489,0.0,-0.3158,1e-06,-,0.3965,74.5
age_at_draft,timing,305,0.0,-0.2453,1.5e-05,-0.2752,1e-06,-0.1243,0.03001,-,0.2453,46.1
cone,combine,169,0.4459,-0.2379,0.00184,-0.231,0.002512,-0.096,0.214566,-,0.2379,44.7
shuttle,combine,180,0.4098,-0.1383,0.06414,-0.1466,0.049615,-0.0729,0.33097,-,0.1383,26.0
wt,combine,274,0.1016,-0.1348,0.025616,-0.0936,0.122023,0.0522,0.389196,-,0.1348,25.3
cfb_rush_td,college_production,217,0.2885,0.1345,0.047782,0.1279,0.059896,0.0372,0.585276,+,0.1345,25.3
recruiting_stars,recruiting,254,0.1672,0.1196,0.056879,0.109,0.082889,0.0548,0.384368,+,0.1196,22.5
hs_class,timing,305,0.0,0.1179,0.039606,0.1272,0.026333,0.0459,0.424903,+,0.1179,22.1
forty,combine,247,0.1902,-0.1148,0.071721,-0.1025,0.108107,-0.0484,0.449063,-,0.1148,21.6
bench,combine,194,0.3639,-0.1114,0.122066,-0.0877,0.223778,0.0319,0.658921,-,0.1114,20.9
team_pos_receptions,team_context,288,0.0557,-0.1112,0.05945,-0.0667,0.258862,-0.0549,0.353641,-,0.1112,20.9
team_pos_targets,team_context,288,0.0557,-0.1052,0.074655,-0.0701,0.235814,-0.0441,0.455544,-,0.1052,19.8
incumbent_pos_targets,team_context,264,0.1344,-0.1019,0.098566,-0.0977,0.113084,-0.0982,0.111453,-,0.1019,19.1
recruiting_rank,recruiting,254,0.1672,-0.1001,0.111449,-0.1555,0.013088,-0.0049,0.937553,-,0.1001,18.8
cfb_rec_yards,college_production,273,0.1049,0.0977,0.107331,0.1006,0.097025,0.1006,0.097268,+,0.0977,18.4
vacated_carries,team_context,288,0.0557,0.0945,0.109643,0.2342,6e-05,0.069,0.242902,+,0.0945,17.7
cfb_rush_yards,college_production,217,0.2885,0.0943,0.166389,0.1467,0.030725,0.043,0.528238,+,0.0943,17.7
cfb_rec,college_production,273,0.1049,0.0935,0.123338,0.1111,0.06687,0.1069,0.077888,+,0.0935,17.6
cfb_rec_td,college_production,273,0.1049,0.0866,0.15375,0.0682,0.261371,0.0551,0.364282,+,0.0866,16.3
ht_inches,combine,274,0.1016,-0.0827,0.172252,-0.0957,0.113961,0.0386,0.524203,-,0.0827,15.5
off_rush_yards,team_context,305,0.0,0.072,0.20958,0.084,0.143487,0.0329,0.567406,+,0.072,13.5
team_pos_carries,team_context,288,0.0557,0.0569,0.335839,0.2372,4.8e-05,-0.0135,0.819995,+,0.0569,10.7
broad_jump,combine,233,0.2361,0.0533,0.41785,0.1132,0.084567,0.0163,0.804894,+,0.0533,10.0
incumbent_pos_ppr_sum,team_context,264,0.1344,-0.0516,0.403778,-0.0463,0.454215,-0.1485,0.015745,-,0.0516,9.7
vacated_touches,team_context,288,0.0557,0.0481,0.415756,0.071,0.229653,0.0642,0.277209,+,0.0481,9.0
vertical,combine,241,0.2098,0.036,0.578492,0.0894,0.166599,0.0459,0.478477,+,0.036,6.8
incumbent_pos_ppr,team_context,264,0.1344,-0.0239,0.699012,-0.0268,0.664137,-0.1841,0.002673,-,0.0239,4.5
sos_opp_win_pct,team_context,305,0.0,-0.0233,0.6855,-0.0656,0.253583,-0.0591,0.30333,-,0.0233,4.4
off_pass_rate_proxy,team_context,305,0.0,-0.0231,0.687882,-0.013,0.821222,0.0017,0.975974,-,0.0231,4.3
incumbent_pos_touches,team_context,264,0.1344,-0.0219,0.722645,-0.0237,0.701971,-0.1338,0.029778,-,0.0219,4.1
incumbent_pos_carries,team_context,264,0.1344,0.0147,0.812003,0.1709,0.005377,-0.0949,0.123935,+,0.0147,2.8
team_opportunity_ppr,team_context,288,0.0557,0.0107,0.856558,0.0335,0.571777,-0.0698,0.237401,+,0.0107,2.0
off_pass_yards,team_context,305,0.0,0.0077,0.89412,0.0372,0.5171,0.0473,0.410267,+,0.0077,1.4
team_pos_touches,team_context,288,0.0557,0.0062,0.916192,0.0284,0.631085,-0.0389,0.510846,+,0.0062,1.2
