feature,n_pairs,pearson_r,abs_corr,p_value
ppr,5301,0.7169,0.7169,0.0
ppr_trail3_mean,5301,0.7168,0.7168,0.0
ppr_per_game,5301,0.6897,0.6897,0.0
lag1_ppr,4114,0.6291,0.6291,0.0
off_snaps,4691,0.6044,0.6044,0.0
off_snap_pct,4691,0.582,0.582,0.0
lag2_ppr,3139,0.5637,0.5637,7.566367234480671e-263
games,5301,0.5122,0.5122,0.0
touches,5301,0.4279,0.4279,5.530682300419282e-235
receptions,5301,0.4043,0.4043,1.1573469907187254e-207
depth_rank,4882,-0.4043,0.4043,2.0228378173132764e-191
receiving_yards,5301,0.3966,0.3966,3.2354489220592143e-199
passing_tds,5301,0.3879,0.3879,6.779005901053153e-190
targets,5301,0.3871,0.3871,4.404791795761903e-189
passing_yards,5301,0.3805,0.3805,3.477809654419759e-182
receiving_tds,5301,0.333,0.333,2.07490331825239e-137
rushing_tds,5301,0.3101,0.3101,1.7095004546464096e-118
rushing_yards,5301,0.3069,0.3069,5.045172661751503e-116
carries,5301,0.3005,0.3005,4.967101000737526e-111
ngs_ryoe,333,0.2666,0.2666,7.927643659538079e-07
ngs_ryoe_per_att,333,0.247,0.247,5.07087248041759e-06
ngs_cpoe,331,0.2251,0.2251,3.5683349597039574e-05
team_changed,4114,-0.2101,0.2101,2.890762659524843e-42
ngs_aggressiveness,331,-0.1923,0.1923,0.0004333324103479254
ngs_yac_oe,1046,0.1859,0.1859,1.3735549322868933e-09
ngs_rush_efficiency,421,-0.1521,0.1521,0.0017544067465218379
career_seasons,5301,0.1348,0.1348,6.584118955068695e-23
delta_ppr,4114,0.1266,0.1266,3.5801332655898347e-16
ngs_avg_ttt,331,0.1085,0.1085,0.04862130989030276
off_pass_epa,5301,0.1064,0.1064,8.152557451442207e-15
delta_touches,4114,0.1059,0.1059,9.703727152734846e-12
off_epa_per_play,5301,0.1008,0.1008,1.9251362361910043e-13
ol_qb_hit_rate,5301,-0.0957,0.0957,2.8662879671821863e-12
delta_off_snap_pct,3510,0.0944,0.0944,2.1068063476866706e-08
off_pass_yards,5301,0.0776,0.0776,1.5649436930118823e-08
ngs_avg_separation,1046,-0.0744,0.0744,0.016029647129598475
ngs_avg_cushion,1046,-0.0719,0.0719,0.020031251735869164
next_opp_def_epa_faced,5301,-0.0704,0.0704,2.852123319766115e-07
ol_sack_rate,5301,-0.0641,0.0641,3.0400982703161608e-06
next_opp_def_pass_epa_faced,5301,-0.0639,0.0639,3.1842356405080856e-06
sos_opp_win_pct,5301,-0.0464,0.0464,0.0007331994413514676
def_pass_epa,5301,-0.0419,0.0419,0.0022904579328734934
def_epa_per_play,5301,-0.0406,0.0406,0.0031257039600452426
off_rush_epa,5301,0.0397,0.0397,0.003831067425487445
opp_def_epa_faced,5301,-0.037,0.037,0.006979468212489063
opp_def_pass_epa_faced,5301,-0.0304,0.0304,0.026670918424670877
next_opp_def_rush_epa_faced,5301,-0.0293,0.0293,0.03279259389550482
def_rush_epa,5301,-0.0151,0.0151,0.2729684664685721
opp_def_rush_epa_faced,5301,-0.0143,0.0143,0.2979188646158179
age,5293,0.0127,0.0127,0.355049010681076
delta_ol_sack_rate,4114,-0.0063,0.0063,0.6863874082448738
off_rush_yards,5301,-0.0054,0.0054,0.6961550000368313
off_pass_rate_proxy,5301,0.0033,0.0033,0.8111926617088664
