player_name,player_name_norm,position,draft_year,draft_round,draft_overall,draft_team,gsis_id,pfr_player_id,cfb_id,college,draft_side,hof,birth_date,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos,hs_class,recruiting_rank,recruiting_stars,recruiting_source,recruiting_match_score,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td,ff_adp,ff_adp_rank,ff_rankings_note,vacated_touches,vacated_carries,score_draft_capital,score_pre_draft_fantasy,score_recruiting,score_timing,score_cfb_receiving,score_cfb_rushing,score_cfb_passing,score_combine_speed,score_combine_explosion,score_combine_size,score_team_context,predicted_rookie_ppr,success_score_0_100
Fernando Mendoza,fernando mendoza,QB,2026,1,1,LVR,MEN516487,MendFe00,,Indiana,O,False,,,,,,,2022.0,1929.0,3.0,industry_composite,100.0,6-5,236.0,,,,,,,0.5363321799307958,17.0,4117.0,1357.0,0.625615763546798,163.0,0.0,0.0,0.0,0.0,,,,,,2025.0,3535.0,41.0,276.0,7.0,,,,181.5,178.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,1.089309350873688,1.013220034196619,-1.5928176059628065,3.164977963173774,,0.33360374648203317,0.7500658514582952,,,1.3176167072575327,-0.6544752115804039,162.96218918743793,74.64788732394366
Ty Simpson,ty simpson,QB,2026,1,13,LAR,SIM639376,SimpTy00,,Alabama,O,False,,,,,,,2022.0,25.0,5.0,industry_composite,100.0,6-1,211.0,,,,,,,0.5259515570934257,17.0,4096.0,1765.0,0.554013875123885,356.28,0.0,0.0,0.0,0.0,356.28,356.28,0.0,0.0,0.0,2025.0,3567.0,28.0,93.0,2.0,,,,377.0,397.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.9416886149194359,-0.320587763547403,1.4882749421572254,3.164977963173774,,-0.582087406659387,0.19530422621017152,,,-1.185414847179253,-0.6933701369100425,40.96231409500852,50.70422535211267
Carson Beck,carson beck,QB,2026,3,65,ARI,,BeckCa01,,Miami (FL),O,False,,,,,,,2020.0,225.0,4.0,industry_composite,100.0,6-3,215.0,4.58,,36.0,121.0,7.13,4.52,0.5674740484429065,17.0,3859.0,2451.0,0.5397614314115308,267.12,0.0,0.0,0.0,0.0,210.64,210.64,0.0,0.0,0.0,2025.0,3813.0,30.0,43.0,2.0,1.0,14.0,1.0,299.5,269.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.30199875911767743,0.3350807213678364,0.490234408569506,2.3507988494587777,0.48460380463264324,-0.6565376157928793,0.37377173804621494,0.03601088126030654,1.4298008568021778,-0.414926852115041,-0.34706093635262353,108.26051808336051,60.56338028169014
Drew Allar,drew allar,QB,2026,3,76,PIT,ALL015451,AllaDr00,,Penn St.,O,False,,,,,,,2022.0,28.0,5.0,industry_composite,100.0,6-5,228.0,,,,,,,0.5017301038062284,17.0,3607.0,2166.0,0.4835271317829457,214.88,0.0,0.0,0.0,0.0,214.88,214.88,0.0,0.0,0.0,2025.0,1100.0,8.0,172.0,1.0,1.0,5.0,0.0,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=52.17391304347826).,0.0,0.0,0.16667975115961314,,1.4861106905330008,3.164977963173774,-0.4586012656454567,-0.5930967537710365,-1.5919686483806763,,,0.8648846769947742,-0.40876518233075504,17.433383043307334,36.61971830985916
Cade Klubnik,cade klubnik,QB,2026,4,110,NYJ,KLU066027,KlubCa00,,Clemson,O,False,,,,,,,2022.0,18.0,5.0,industry_composite,100.0,6-2,207.0,,,,,,,0.5501730103806228,17.0,4016.0,1561.0,0.6257731958762887,203.38,71.0,0.0,0.0,71.0,23.56,23.56,0.0,0.0,0.0,2025.0,2943.0,16.0,94.0,4.0,,,,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=48.0).,71.0,71.0,-0.25157900071076744,,1.4933248626137494,3.164977963173774,,-0.32331704739158196,-0.5593168007615723,,,-1.139719872344216,1.6778366180651934,51.619710508814,50.70422535211267
Taylen Green,taylen green,QB,2026,6,182,CLE,GRE361852,GreeTa00,,Arkansas,O,False,,,,,,,2021.0,660.0,3.0,industry_composite,100.0,6-6,227.0,4.36,,43.5,134.0,,,0.4844290657439447,17.0,3879.0,1608.0,0.6283269961977186,125.48,0.0,0.0,0.0,0.0,64.0,125.48,0.0,0.0,0.0,2025.0,2714.0,19.0,779.0,8.0,,,,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=58.33333333333333).,0.0,0.0,-1.1373034164362792,,-0.677339168915806,2.757888406316276,,1.2112135279075344,-0.5135381366913349,3.0006382687791606,3.9324105045715676,1.0803541631783455,0.0378087761488023,24.016583415574846,42.25352112676056
Athan Kaliakmanis,athan kaliakmanis,QB,2026,7,223,WAS,KAL252591,KaliAt00,,Rutgers,O,False,,,,,,,2021.0,202.0,4.0,industry_composite,100.0,,,,,,,,,0.5017301038062284,17.0,3932.0,2619.0,0.4995242626070409,170.27999999999997,0.0,0.0,0.0,0.0,93.8,170.27999999999997,0.0,0.0,0.0,2025.0,3124.0,20.0,-26.0,4.0,,,,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=46.666666666666664).,0.0,0.0,-1.6416742642799735,,0.506827004355228,2.757888406316276,,-0.5019975493119638,-0.3177963753263924,,,,-0.06317789815985328,8.701058798739124,30.985915492957744
Behren Morton,behren morton,QB,2026,7,234,NWE,MOR767384,MortBe00,,Texas Tech,O,False,,,,,,,2021.0,123.0,4.0,industry_composite,100.0,6-2,221.0,,,,,,,0.3910034602076124,17.0,3343.0,1969.0,0.5425641025641026,352.76,103.0,0.0,0.0,103.0,352.76,352.76,103.0,0.0,103.0,2025.0,2780.0,22.0,-113.0,0.0,,,,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=56.00000000000001).,0.0,0.0,-1.7769932722380382,,0.563818963793142,2.757888406316276,,-1.1461036233745108,-0.3582826029108479,,,-0.3474388193843884,-1.058295743180073,2.6211318706762468,25.352112676056336
Garrett Nussmeier,garrett nussmeier,QB,2026,7,249,KAN,NUS440041,NussGa00,,LSU,O,False,,,,,,,2021.0,88.0,4.0,industry_composite,100.0,6-2,203.0,,,,,,,0.5121107266435986,17.0,4046.0,1790.0,0.5714285714285714,281.68,64.0,0.0,0.0,64.0,281.68,281.68,64.0,0.0,64.0,2025.0,1927.0,12.0,-57.0,1.0,,,,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=56.25).,0.0,0.0,-1.9615191921808526,,0.5890685660757622,2.757888406316276,,-0.9340787116024318,-1.1107124336816958,,,-1.366085887475595,-0.7313792837453345,3.2991035942160143,25.352112676056336
Jeremiyah Love,jeremiyah love,RB,2026,1,3,ARI,LOV121782,LoveJe00,,Notre Dame,O,False,,,,,,,2023.0,77.0,4.0,industry_composite,100.0,6-0,212.0,4.36,,,,,,0.5674740484429065,17.0,3859.0,2451.0,0.5397614314115308,94.9,82.0,0.0,22.0,104.0,94.9,94.9,82.0,0.0,104.0,2025.0,,,1372.0,18.0,27.0,280.0,3.0,25.5,26.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,1.8888345277024798,1.1893319759874161,0.6703581586556725,3.3687563164642853,0.6633544251854837,0.8466041091567389,,1.8859851532083238,,0.2954627758117278,-0.7839119588767565,160.29537151943407,83.52941176470588
