scope,position,source,n,pearson_r,mae,bias
overall,,espn,8454,0.4016,6.478,0.255
by_position,QB,espn,1256,0.3167,6.323,0.21
by_position,RB,espn,2741,0.377,6.548,0.515
by_position,TE,espn,1243,0.3739,5.627,0.049
by_position,WR,espn,3214,0.2917,6.808,0.13
overall,,our_base_pace,8454,0.26,7.4,-4.279
by_position,QB,our_base_pace,1256,0.0994,7.849,-4.626
by_position,RB,our_base_pace,2741,0.1826,7.884,-5.508
by_position,TE,our_base_pace,1243,0.2613,6.304,-3.492
by_position,WR,our_base_pace,3214,0.1944,7.235,-3.4
overall,,our_adp_opp_pace,8454,0.2743,7.256,-3.98
by_position,QB,our_adp_opp_pace,1256,0.1137,7.541,-4.069
by_position,RB,our_adp_opp_pace,2741,0.1871,7.735,-5.259
by_position,TE,our_adp_opp_pace,1243,0.265,6.207,-3.344
by_position,WR,our_adp_opp_pace,3214,0.2105,7.143,-3.1
overall,,market_pace,7534,0.3029,7.121,-3.516
by_position,QB,market_pace,1037,0.182,6.957,-1.944
by_position,RB,market_pace,2452,0.2718,7.446,-4.803
by_position,TE,market_pace,997,0.2459,6.152,-2.475
by_position,WR,market_pace,3048,0.2238,7.233,-3.357
overall,,blend_pace,8454,0.3002,7.236,-4.019
by_position,QB,blend_pace,1256,0.157,7.524,-3.65
by_position,RB,blend_pace,2741,0.2503,7.655,-5.311
by_position,TE,blend_pace,1243,0.2735,6.154,-3.04
by_position,WR,blend_pace,3214,0.235,7.185,-3.44
season_2018,,espn,1022,0.4599,6.429,-0.283
season_2018,,blend_pace,1022,0.2628,7.602,-4.772
season_2018,,our_adp_opp_pace,1022,0.2331,7.903,-5.289
season_2019,,espn,1014,0.403,6.592,0.126
season_2019,,blend_pace,1014,0.2768,7.326,-4.018
season_2019,,our_adp_opp_pace,1014,0.2411,7.398,-4.145
season_2020,,espn,988,0.4775,6.545,-0.022
season_2020,,blend_pace,988,0.3722,7.466,-4.085
season_2020,,our_adp_opp_pace,988,0.3558,7.399,-3.759
season_2021,,espn,1083,0.4029,6.58,0.671
season_2021,,blend_pace,1083,0.3171,7.28,-4.047
season_2021,,our_adp_opp_pace,1083,0.267,7.406,-4.066
season_2022,,espn,1095,0.4132,6.42,0.399
season_2022,,blend_pace,1095,0.3786,6.875,-3.828
season_2022,,our_adp_opp_pace,1095,0.3566,6.835,-3.602
season_2023,,espn,1065,0.3136,6.624,-0.26
season_2023,,blend_pace,1065,0.2634,7.156,-3.689
season_2023,,our_adp_opp_pace,1065,0.2555,7.058,-3.705
season_2024,,espn,1111,0.3721,6.254,0.443
season_2024,,blend_pace,1111,0.2906,7.106,-4.061
season_2024,,our_adp_opp_pace,1111,0.2839,6.997,-3.76
season_2025,,espn,1076,0.4122,6.398,0.89
season_2025,,blend_pace,1076,0.2496,7.129,-3.695
season_2025,,our_adp_opp_pace,1076,0.2105,7.118,-3.578
