season,proj_finish,actual_finish,team,team_id,is_my_team,sim_wins_mean,wins,sim_points_mean,points_for,sim_seed_mean,playoff_seed,final_rank,playoff_odds,abs_err
2018,1,8,Camera Man,6,False,7.437333333333333,4,1303.56773150923,1568.14,4.221666666666667,8,10,0.795,7
2018,2,3,Gould Standard,10,False,7.259666666666667,10,1311.983788014088,1736.4400000000005,4.411666666666667,3,2,0.7633333333333333,1
2018,3,6,Team SUpton,3,False,7.122,6,1317.570039125248,1637.94,4.498,6,6,0.737,3
2018,4,1,Sexual Thielen,9,False,6.889333333333333,10,1301.91512457784,1788.0,4.907666666666667,1,1,0.6976666666666667,3
2018,5,5,Waka Waka,7,True,6.768,6,1277.452374408063,1760.76,5.139,5,5,0.6656666666666666,0
2018,6,2,Team  Ooga kamara,1,False,6.640333333333333,10,1280.068680881776,1678.7,5.230666666666667,2,4,0.6336666666666667,4
2018,7,4,Team Boswellnt,4,False,6.503333333333333,7,1248.32600346836,1830.6,5.583666666666667,4,3,0.5793333333333334,3
2018,8,9,A. Brown Man,5,False,6.384,4,1256.1426021146035,1449.06,5.661666666666667,9,7,0.5816666666666667,1
2018,9,7,Team Hmar,2,False,5.831333333333333,5,1216.1948626173778,1528.8,6.515333333333333,7,9,0.4443333333333333,2
2018,10,10,Team Vibranium,8,False,4.164666666666666,3,1055.321388289146,1343.14,8.830666666666668,10,8,0.1023333333333333,0
2019,1,10,All Ma Hom(i)es,8,False,7.509666666666667,4,1392.122246668367,1456.22,3.830333333333333,10,9,0.8246666666666667,9
2019,2,5,Team SUpton,3,False,7.0776666666666666,7,1331.4096475537535,1528.48,4.535,5,5,0.7386666666666667,3
2019,3,1,Camera Man,6,False,6.984,9,1335.6475902336915,1690.7000000000005,4.707,1,1,0.721,2
2019,4,2,Beat Ankit,5,False,7.009,8,1300.161834638012,1650.02,4.793333333333333,2,4,0.7013333333333334,2
2019,5,9,Team Boswellnt,4,False,6.718666666666667,4,1296.4008965438811,1489.6600000000003,5.191,9,7,0.6546666666666666,4
2019,6,3,fReE wIn,7,True,6.525,8,1327.1366605634448,1665.2,5.334333333333333,3,2,0.633,3
2019,7,7,Henry is a  Hekler,10,False,6.2716666666666665,6,1285.5916093195972,1488.44,5.901,7,10,0.55,0
2019,8,6,Please Win,9,False,5.725333333333333,6,1260.659985774849,1613.0600000000002,6.696,6,6,0.434,2
2019,9,4,Henrys Not A. Hooper,1,False,5.644,7,1230.9178348996209,1665.46,6.9656666666666665,4,3,0.378,5
2019,10,8,Hot Chubb Tom Machine,2,False,5.535,6,1235.784477487736,1385.38,7.046333333333333,8,8,0.3646666666666666,2
2020,1,4,Ekeler? I Hardly Know Her,9,False,8.181,8,1455.047028845913,1546.7200000000005,2.95,4,3,0.9096666666666666,3
2020,2,2,Waller? I hardly know her,7,True,7.351,8,1410.9966132078462,1740.54,4.101,2,2,0.8093333333333333,0
2020,3,6,Team Boswellnt,4,False,6.831333333333333,6,1368.4564365284846,1567.06,4.84,6,4,0.7073333333333334,3
2020,4,1,Russel My Willy,3,False,6.713,9,1358.2789578152506,1691.5599999999995,5.084666666666666,1,1,0.6713333333333333,3
2020,5,3,Lutz Get  This W,2,False,6.48,9,1354.2345492133438,1689.98,5.393,3,5,0.6226666666666667,2
2020,6,8,Beat Ankit,5,False,6.557,5,1342.932840022068,1484.5,5.405,8,7,0.6223333333333333,2
2020,7,7,(,8,False,6.049,6,1298.1626648114348,1392.3200000000002,6.354333333333333,7,10,0.4953333333333333,0
2020,8,5,Dalvin and the Pickups,1,False,5.863666666666667,7,1284.4637422597848,1589.0800000000004,6.617333333333334,5,6,0.4413333333333333,3
2020,9,10,Terminator III: Skynet v Conner,10,False,5.529,3,1273.6384573023831,1418.5,7.078333333333333,10,8,0.3723333333333333,1
2020,10,9,Camera Man,6,False,5.445,4,1276.0991353674808,1427.88,7.176333333333333,9,9,0.3483333333333333,1
2021,1,3,Day __ of  Ignoring Sahit,10,False,8.423,8,1482.266119513671,1744.06,3.32,3,6,0.8763333333333333,2
2021,2,1,Baby Im ThielenUrHeart,4,False,7.389666666666667,12,1361.545044206178,1764.38,4.964666666666667,1,3,0.6763333333333333,1
2021,3,2,CeeDee's Balls,9,False,7.278333333333333,8,1399.3680660631082,1744.68,5.082333333333334,2,4,0.667,1
2021,4,8,"Titan Killer, Derrick Henry",5,False,7.177333333333333,6,1353.3550334653228,1612.52,5.289333333333333,8,8,0.6326666666666667,4
2021,5,7,Tucker right in The,2,False,6.993333333333333,6,1375.1545331685113,1659.12,5.350333333333333,7,7,0.619,2
2021,6,10,"Sahit, I don't have kik, stop",8,False,7.100333333333333,5,1382.2778128099992,1589.06,5.368,10,10,0.6406666666666667,4
2021,7,6,Yeh Dil Maange  Moore,6,False,6.812666666666667,6,1377.0950329582122,1722.06,5.741333333333333,6,1,0.5813333333333334,1
