season,team_id,team,is_my_team,espn_bos,our_rs,act_rs,our_po,act_po,sim_wins_mean,wins,sim_points_mean,points_for,playoff_odds,title_odds,err_our_rs,err_espn_rs,err_our_po
2018,6,Camera Man,False,,1,8,1,10,7.437333333333333,4,1303.56773150923,1568.14,0.795,0.147,7,,9
2018,10,Gould Standard,False,,2,3,2,2,7.259666666666667,10,1311.983788014088,1736.4400000000005,0.7633333333333333,0.1466666666666666,1,,0
2018,3,Team SUpton,False,,3,6,3,6,7.122,6,1317.570039125248,1637.94,0.737,0.138,3,,3
2018,9,Sexual Thielen,False,,4,1,4,1,6.889333333333333,10,1301.91512457784,1788.0,0.6976666666666667,0.1293333333333333,3,,3
2018,7,Waka Waka,True,,5,5,6,5,6.768,6,1277.452374408063,1760.76,0.6656666666666666,0.1086666666666666,0,,1
2018,1,Team  Ooga kamara,False,,6,2,5,4,6.640333333333333,10,1280.068680881776,1678.7,0.6336666666666667,0.109,4,,1
2018,4,Team Boswellnt,False,,7,4,7,3,6.503333333333333,7,1248.32600346836,1830.6,0.5793333333333334,0.0843333333333333,3,,4
2018,5,A. Brown Man,False,,8,9,8,7,6.384,4,1256.1426021146035,1449.06,0.5816666666666667,0.0793333333333333,1,,1
2018,2,Team Hmar,False,,9,7,9,9,5.831333333333333,5,1216.1948626173778,1528.8,0.4443333333333333,0.0533333333333333,2,,0
2018,8,Team Vibranium,False,,10,10,10,8,4.164666666666666,3,1055.321388289146,1343.14,0.1023333333333333,0.0043333333333333,0,,2
2019,8,All Ma Hom(i)es,False,,1,10,1,9,7.509666666666667,4,1392.122246668367,1456.22,0.8246666666666667,0.216,9,,8
2019,3,Team SUpton,False,,2,5,2,5,7.0776666666666666,7,1331.4096475537535,1528.48,0.7386666666666667,0.1436666666666666,3,,3
2019,6,Camera Man,False,,3,1,3,1,6.984,9,1335.6475902336915,1690.7000000000005,0.721,0.1293333333333333,2,,2
2019,5,Beat Ankit,False,,4,2,4,4,7.009,8,1300.161834638012,1650.02,0.7013333333333334,0.1176666666666666,2,,0
2019,4,Team Boswellnt,False,,5,9,6,7,6.718666666666667,4,1296.4008965438811,1489.6600000000003,0.6546666666666666,0.0986666666666666,4,,1
