season,team_id,as_of_week,end_week,n_weeks,player_name,overall_pick,pick_label,kind,label
2018,1,4,13,10,Peyton Barber,138.0,14.08,out_3plus,Peyton Barber out 10 weeks (W4-W13) (14.08)
2018,1,9,13,5,Nelson Agholor,139.0,14.09,out_3plus,Nelson Agholor out 5 weeks (W9-W13) (14.09)
2018,1,9,13,5,Nyheim Hines,,,out_for_season,Nyheim Hines out for season
2018,1,10,13,4,Matthew Stafford,83.0,9.03,out_3plus,Matthew Stafford out 4 weeks (W10-W13) (9.03)
2018,1,11,13,3,Cooper Kupp,107.0,11.07,out_for_season,Cooper Kupp out for season (11.07)
2018,2,10,13,4,Chris Hogan,56.0,6.06,out_3plus,Chris Hogan out 4 weeks (W10-W13) (6.06)
2018,3,9,13,5,Chris Thompson,104.0,11.04,out_3plus,Chris Thompson out 5 weeks (W9-W13) (11.04)
2018,4,5,13,9,Mohamed Sanu,151.0,16.01,out_3plus,Mohamed Sanu out 9 weeks (W5-W13) (16.01)
2018,4,10,13,4,Michael Crabtree,58.0,6.08,out_3plus,Michael Crabtree out 4 weeks (W10-W13) (6.08)
2018,4,13,13,1,Jack Doyle,91.0,10.01,out_for_season,Jack Doyle out for season (10.01)
2018,5,4,13,10,Rex Burkhead,82.0,9.02,out_3plus,Rex Burkhead out 10 weeks (W4-W13) (9.02)
2018,5,10,12,3,Randall Cobb,79.0,8.09,out_3plus,Randall Cobb out 3 weeks (W10-W12) (8.09)
2018,6,2,4,3,Devonta Freeman,30.0,3.10,out_3plus,Devonta Freeman out 3 weeks (W2-W4) (3.10)
2018,6,8,13,6,Bilal Powell,,,out_for_season,Bilal Powell out for season
2018,6,9,13,5,Devonta Freeman,30.0,3.10,out_3plus,Devonta Freeman out 5 weeks (W9-W13) (3.10)
2018,6,9,11,3,Jameis Winston,,,out_3plus,Jameis Winston out 3 weeks (W9-W11)
2018,7,4,6,3,Evan Engram,66.0,7.06,out_3plus,Evan Engram out 3 weeks (W4-W6) (7.06)
2018,7,7,13,7,Royce Freeman,46.0,5.06,out_3plus,Royce Freeman out 7 weeks (W7-W13) (5.06)
2018,7,11,13,3,Jordy Nelson,99.0,10.09,out_3plus,Jordy Nelson out 3 weeks (W11-W13) (10.09)
2018,8,2,13,12,Delanie Walker,53.0,6.03,out_3plus,Delanie Walker out 12 weeks (W2-W13) (6.03)
2018,8,7,13,7,Jay Ajayi,13.0,2.03,out_for_season,Jay Ajayi out for season (2.03)
2018,8,7,13,7,Eli Manning,33.0,4.03,out_for_season,Eli Manning out for season (4.03)
2018,8,8,13,6,Marshawn Lynch,48.0,5.08,out_for_season,Marshawn Lynch out for season (5.08)
2018,8,10,13,4,Robby Anderson,93.0,10.03,out_3plus,Robby Anderson out 4 weeks (W10-W13) (10.03)
2018,9,5,8,4,Leonard Fournette,12.0,2.02,out_3plus,Leonard Fournette out 4 weeks (W5-W8) (2.02)
2018,9,9,13,5,Will Fuller V,132.0,14.02,out_3plus,Will Fuller V out 5 weeks (W9-W13) (14.02)
2018,9,11,13,3,Carlos Hyde,89.0,9.09,out_3plus,Carlos Hyde out 3 weeks (W11-W13) (9.09)
2018,10,2,5,4,Greg Olsen,61.0,7.01,out_3plus,Greg Olsen out 4 weeks (W2-W5) (7.01)
2018,10,6,9,4,Alex Smith,100.0,10.10,out_3plus,Alex Smith out 4 weeks (W6-W9) (10.10)
2018,10,10,13,4,Kenny Stills,120.0,12.10,out_3plus,Kenny Stills out 4 weeks (W10-W13) (12.10)
2019,1,4,11,8,Vance McDonald,84.0,9.04,out_3plus,Vance McDonald out 8 weeks (W4-W11) (9.04)
2019,1,11,13,3,Austin Hooper,124.0,13.04,out_3plus,Austin Hooper out 3 weeks (W11-W13) (13.04)
2019,2,2,5,4,Tyreek Hill,6.0,1.06,out_3plus,Tyreek Hill out 4 weeks (W2-W5) (1.06)
2019,2,7,9,3,Josh Gordon,46.0,5.06,out_3plus,Josh Gordon out 3 weeks (W7-W9) (5.06)
2019,3,5,8,4,Davante Adams,10.0,1.10,out_3plus,Davante Adams out 4 weeks (W5-W8) (1.10)
2019,3,6,13,8,Marquez Valdes-Scantling,130.0,13.10,out_3plus,Marquez Valdes-Scantling out 8 weeks (W6-W13) (13.10)
2019,3,7,13,7,Peyton Barber,111.0,12.01,out_3plus,Peyton Barber out 7 weeks (W7-W13) (12.01)
2019,3,9,12,4,Dede Westbrook,82.0,9.02,out_3plus,Dede Westbrook out 4 weeks (W9-W12) (9.02)
2019,4,6,11,6,Baker Mayfield,79.0,8.09,out_3plus,Baker Mayfield out 6 weeks (W6-W11) (8.09)
2019,4,10,12,3,LeSean McCoy,62.0,7.02,out_3plus,LeSean McCoy out 3 weeks (W10-W12) (7.02)
2019,5,5,13,9,O.J. Howard,69.0,7.09,out_3plus,O.J. Howard out 9 weeks (W5-W13) (7.09)
2019,5,10,13,4,Kerryon Johnson,29.0,3.09,out_for_season,Kerryon Johnson out for season (3.09)
2019,6,3,13,11,Antonio Brown,18.0,2.08,out_3plus,Antonio Brown out 11 weeks (W3-W13) (2.08)
2019,7,2,6,5,Hunter Henry,73.0,8.03,out_3plus,Hunter Henry out 5 weeks (W2-W6) (8.03)
2019,7,10,13,4,Larry Fitzgerald,113.0,12.03,out_3plus,Larry Fitzgerald out 4 weeks (W10-W13) (12.03)
2019,8,3,8,6,DeSean Jackson,160.0,16.10,out_3plus,DeSean Jackson out 6 weeks (W3-W8) (16.10)
