gsis_id,player_name,position,team,projected_season_ppr,weekly_sum_ppr,game_weeks,expected_games,overall_rank_board,position_rank_board,vorp_rank,adp_rank,actual_ppr,prior_ppr,pred_overall_rank,pred_pos_rank,actual_overall_rank,actual_pos_rank
00-0034796,Lamar Jackson,QB,BAL,339.42,339.42,17,13.298076923076923,1,1,12,23.0,214.86,430.38,1,1,50.0,19.0
00-0034857,Josh Allen,QB,BUF,319.69,319.69,17,13.298076923076923,2,2,21,20.0,364.62,372.34,2,2,5.0,1.0
00-0039910,Jayden Daniels,QB,WAS,301.31,301.31,17,13.298076923076923,3,3,39,29.0,114.28,355.82,3,3,131.0,30.0
00-0039732,Bo Nix,QB,DEN,291.29,291.29,17,13.298076923076923,4,4,46,70.0,304.84,317.2,4,4,17.0,7.0
00-0035676,A.J. Brown,WR,PHI,286.16,286.16,17,13.788461538461538,6,1,1,21.0,220.3,216.9,5,1,43.0,10.0
00-0036900,Ja'Marr Chase,WR,CIN,279.05,279.05,17,13.788461538461538,9,2,2,1.0,313.6,403.0,6,2,16.0,4.0
00-0033873,Patrick Mahomes,QB,KC,278.45,278.45,17,13.298076923076923,5,5,56,49.0,285.68,283.02,7,5,23.0,11.0
00-0036358,CeeDee Lamb,WR,DAL,276.16,276.16,17,13.788461538461538,12,3,4,5.0,200.9,263.40000000000003,8,3,60.0,20.0
00-0034855,Baker Mayfield,QB,TB,273.87,273.87,17,13.298076923076923,7,6,60,62.0,271.92,365.8,9,6,26.0,12.0
00-0037834,Brock Purdy,QB,SF,269.31,269.31,17,13.298076923076923,8,7,64,93.0,177.38,266.86,10,7,78.0,21.0
00-0033106,Jared Goff,QB,DET,268.95,268.95,17,13.298076923076923,10,8,66,100.0,297.06,324.46,11,8,20.0,9.0
00-0035228,Kyler Murray,QB,ARI,267.87,267.87,17,13.298076923076923,11,9,67,83.0,77.78,297.24,12,9,179.0,33.0
00-0036322,Justin Jefferson,WR,MIN,265.23,265.23,17,13.788461538461538,16,4,6,6.0,201.5,317.48,13,4,59.0,19.0
00-0036963,Amon-Ra St. Brown,WR,DET,264.31,264.31,17,13.788461538461538,18,5,7,9.0,324.0,316.18,14,5,11.0,3.0
00-0036389,Jalen Hurts,QB,PHI,264.21,264.21,17,13.298076923076923,13,10,72,34.0,301.06,315.12,15,10,19.0,8.0
00-0036355,Justin Herbert,QB,LAC,262.76,262.76,17,13.298076923076923,14,11,76,109.0,286.88,285.4,16,11,22.0,10.0
00-0039075,Puka Nacua,WR,LA,262.57,262.57,17,13.788461538461538,19,6,8,12.0,375.0,206.6,17,6,2.0,1.0
00-0036442,Joe Burrow,QB,CIN,259.4,259.4,17,13.298076923076923,15,12,78,32.0,134.46,372.82,18,12,104.0,25.0
00-0039337,Malik Nabers,WR,NYG,258.57,258.57,17,13.788461538461538,20,7,10,8.0,57.1,273.6,19,7,214.0,87.0
00-0039918,Caleb Williams,QB,CHI,255.47,255.47,17,13.298076923076923,17,13,86,118.0,318.18,254.54,20,13,13.0,5.0
00-0033040,Tyreek Hill,WR,MIA,250.96,250.96,17,13.788461538461538,21,8,13,31.0,53.5,218.2,21,8,220.0,89.0
00-0039915,Ladd McConkey,WR,LAC,245.91,245.91,17,13.788461538461538,23,9,15,26.0,180.9,240.9,22,9,73.0,27.0
00-0039893,Brian Thomas,WR,JAX,239.65,239.65,17,13.788461538461538,24,10,18,15.0,138.8,284.0,23,10,98.0,37.0
00-0031381,Davante Adams,WR,NYJ,234.59,234.59,17,13.788461538461538,26,11,20,42.0,222.9,196.4,24,11,41.0,9.0
00-0035700,Josh Jacobs,RB,GB,233.71,233.71,17,13.003205128205128,22,1,3,16.0,237.1,293.1,25,1,32.0,12.0
00-0039894,Xavier Worthy,WR,KC,226.84,226.84,17,13.788461538461538,28,12,26,53.0,109.9,187.2,26,12,138.0,51.0
