season,stat_id,stat_name,points
2018,93,,6.0
2018,25,rushing_tds,6.0
2018,209,,1.0
2018,53,receptions,1.0
2018,72,fumbles_lost,-2.0
2018,101,,6.0
2018,102,,6.0
2018,206,,2.0
2018,103,,6.0
2018,104,,6.0
2018,19,passing_2pt,2.0
2018,43,receiving_tds,6.0
2018,4,passing_tds,4.0
2018,24,rushing_yards,0.1
2018,63,pass_yards_400_bonus,6.0
2018,80,,3.0
2018,20,interceptions,-2.0
2018,26,rushing_2pt,2.0
2018,77,,4.0
2018,3,passing_yards,0.04
2018,86,,1.0
2018,42,receiving_yards,0.1
2018,85,,-1.0
2018,44,receiving_2pt,2.0
2018,74,,5.0
2019,206,,2.0
2019,25,rushing_tds,6.0
2019,209,,1.0
2019,53,receptions,1.0
2019,72,fumbles_lost,-2.0
2019,93,,6.0
2019,19,passing_2pt,2.0
2019,43,receiving_tds,6.0
2019,102,,6.0
2019,4,passing_tds,4.0
2019,103,,6.0
2019,24,rushing_yards,0.1
2019,101,,6.0
2019,63,pass_yards_400_bonus,6.0
2019,80,,3.0
2019,20,interceptions,-2.0
2019,104,,6.0
2019,26,rushing_2pt,2.0
2019,77,,4.0
2019,3,passing_yards,0.04
2019,86,,1.0
2019,42,receiving_yards,0.1
2019,85,,-1.0
2019,44,receiving_2pt,2.0
2019,74,,5.0
2020,206,,2.0
2020,25,rushing_tds,6.0
2020,209,,1.0
2020,53,receptions,1.0
2020,72,fumbles_lost,-2.0
2020,93,,6.0
2020,19,passing_2pt,2.0
2020,43,receiving_tds,6.0
2020,102,,6.0
2020,4,passing_tds,4.0
2020,103,,6.0
2020,24,rushing_yards,0.1
2020,101,,6.0
2020,63,pass_yards_400_bonus,6.0
2020,80,,3.0
2020,20,interceptions,-2.0
2020,104,,6.0
2020,26,rushing_2pt,2.0
2020,77,,4.0
2020,3,passing_yards,0.04
2020,86,,1.0
2020,42,receiving_yards,0.1
2020,85,,-1.0
2020,44,receiving_2pt,2.0
2020,201,,5.0
2020,198,,5.0
2021,206,,2.0
2021,25,rushing_tds,6.0
2021,209,,1.0
2021,53,receptions,1.0
2021,72,fumbles_lost,-2.0
2021,93,,6.0
2021,19,passing_2pt,2.0
2021,43,receiving_tds,6.0
2021,102,,6.0
2021,4,passing_tds,4.0
2021,103,,6.0
2021,24,rushing_yards,0.1
2021,101,,6.0
2021,63,pass_yards_400_bonus,6.0
2021,80,,3.0
2021,20,interceptions,-2.0
2021,104,,6.0
2021,26,rushing_2pt,2.0
2021,77,,4.0
2021,3,passing_yards,0.04
2021,86,,1.0
2021,42,receiving_yards,0.1
2021,85,,-1.0
2021,44,receiving_2pt,2.0
2021,201,,5.0
2021,198,,5.0
