season,as_of_week,team_id,team_name,wins_to_date,points_to_date,sim_wins_mean,playoff_odds,title_odds,sim_seed_mean
2018,0,1,Team  Ooga kamara,0.0,0.0,6.608666666666666,0.6413333333333333,0.09466666666666666,5.299333333333333
2018,0,2,Team Hmar,0.0,0.0,5.787333333333334,0.4246666666666667,0.056,6.644
2018,0,3,Team SUpton,0.0,0.0,7.24,0.7833333333333333,0.17266666666666666,4.228
2018,0,4,Team Boswellnt,0.0,0.0,6.498,0.5913333333333334,0.082,5.562666666666667
2018,0,5,A. Brown Man,0.0,0.0,6.34,0.5786666666666667,0.09,5.718
2018,0,6,Camera Man,0.0,0.0,7.332,0.764,0.134,4.358
2018,0,7,Waka Waka,0.0,0.0,6.82,0.6566666666666666,0.118,5.074
2018,0,8,Team Vibranium,0.0,0.0,4.220666666666666,0.11066666666666666,0.002,8.787333333333333
2018,0,9,Sexual Thielen,0.0,0.0,6.9366666666666665,0.6966666666666667,0.114,4.866
2018,0,10,Gould Standard,0.0,0.0,7.216666666666667,0.7526666666666667,0.13666666666666666,4.462666666666666
2018,1,1,Team  Ooga kamara,1.0,163.94,7.218666666666667,0.7586666666666667,0.126,4.272
2018,1,2,Team Hmar,1.0,129.84,6.456666666666667,0.5713333333333334,0.07266666666666667,5.694
2018,1,3,Team SUpton,0.0,124.44,5.887333333333333,0.4686666666666667,0.04933333333333333,6.350666666666666
2018,1,4,Team Boswellnt,0.0,145.42,5.954,0.5006666666666667,0.07266666666666667,6.242666666666667
2018,1,5,A. Brown Man,1.0,95.3,7.124666666666666,0.7053333333333334,0.11666666666666667,4.846666666666667
2018,1,6,Camera Man,1.0,139.76,7.842,0.8606666666666667,0.17933333333333334,3.618
2018,1,7,Waka Waka,0.0,129.18,6.432,0.6226666666666667,0.098,5.519333333333333
2018,1,8,Team Vibranium,0.0,122.96,4.058,0.09333333333333334,0.006666666666666667,8.918666666666667
2018,1,9,Sexual Thielen,0.0,74.2,6.433333333333334,0.582,0.10533333333333333,5.703333333333333
2018,1,10,Gould Standard,1.0,164.76,7.593333333333334,0.8366666666666667,0.17333333333333334,3.8346666666666667
2018,2,1,Team  Ooga kamara,2.0,296.6,7.688,0.832,0.13666666666666666,3.892
2018,2,2,Team Hmar,1.0,259.94,5.488,0.34933333333333333,0.024666666666666667,7.131333333333333
2018,2,3,Team SUpton,1.0,288.98,7.442,0.8266666666666667,0.18066666666666667,3.9633333333333334
