target_season,gsis_id,player_name,position,team,predicted_ppr,pred_q25,pred_q75,prior_ppr,prior_games,actual_ppr
2018,00-0019596,Tom Brady,QB,NE,268.55679864411746,242.94539060508822,327.5717898255523,295.88,16,281.3
2018,00-0020531,Drew Brees,QB,NO,297.88051659813584,246.63642336570678,331.1368316654914,262.56,16,304.98
2018,00-0021206,Josh McCown,QB,NYJ,137.10866754596745,106.17779763441294,235.07342446480772,205.44,13,20.76
2018,00-0021429,Carson Palmer,QB,ARI,189.87143213839423,101.13722194014402,281.79471589785226,102.32,7,
2018,00-0022803,Eli Manning,QB,NYG,223.7192764209265,182.92587076679172,276.76296719815787,187.32,15,239.96
2018,00-0022924,Ben Roethlisberger,QB,PIT,254.0580937077297,233.2509707042949,271.12794221580714,261.06,15,341.86
2018,00-0022942,Philip Rivers,QB,LAC,281.81173603273106,251.53453602891793,294.1268282780399,270.4,16,285.02
2018,00-0023436,Alex Smith,QB,KC,263.0086666160178,239.3115394953073,280.45666510864504,295.18,15,138.0
2018,00-0023459,Aaron Rodgers,QB,GB,266.65377772988865,165.62012477089323,312.15732298751243,129.6,7,312.58
2018,00-0023645,Derek Anderson,QB,CAR,29.21520651871996,1.449425137545668,46.42753027898466,0.48,3,6.5
2018,00-0023662,Matt Cassel,QB,TEN,26.36576450302306,0.7081748235180486,52.76432334426673,2.4799999999999995,2,1.66
2018,00-0023682,Ryan Fitzpatrick,QB,TB,116.51084896219179,50.37699651745952,151.46313722267706,73.92,6,165.84
2018,00-0024226,Jay Cutler,QB,MIA,113.97206208609437,66.18621861049455,202.3985885891113,157.84,14,
2018,00-0024264,Kellen Clemens,QB,LAC,29.635869843530806,-0.637524113989686,50.156235296903986,-1.0599999999999998,3,
2018,00-0025430,Drew Stanton,QB,ARI,78.13810011303123,0.17198984014743796,159.36246803932747,50.46,5,
2018,00-0025708,Matt Moore,QB,MIA,27.81128957234541,1.0590423246747074,94.81935327712954,41.34,4,
2018,00-0026143,Matt Ryan,QB,ATL,267.8466673295726,224.95561501787088,287.18363358661907,228.1,16,354.96
2018,00-0026158,Joe Flacco,QB,BAL,216.9323616880742,133.7194623140925,246.3765474326046,185.04,16,137.1
2018,00-0026197,Chad Henne,QB,JAX,3.5346539547158056,0.8382492337541649,38.88638783324674,-0.5,2,1.46
2018,00-0026498,Matthew Stafford,QB,DET,272.88333813385657,240.76395481988817,296.8762465931896,273.64,16,212.18
2018,00-0026544,Chase Daniel,QB,NO,30.30013883851116,1.877186265420786,54.231756528433614,-0.2,1,30.7
2018,00-0026625,Brian Hoyer,QB,SF,92.04989073676776,22.26761332325078,154.4661787903182,62.5,6,-0.52
2018,00-0027796,Joe Webb,QB,BUF,27.303764857077415,0.6872991704129694,32.54986542321208,4.800000000000001,2,3.3
2018,00-0027854,Sam Bradford,QB,MIN,111.83178122123687,59.64815271976436,152.11360719336886,26.98,2,12.7
2018,00-0027939,Cam Newton,QB,CAR,262.4556801767373,226.21870447735316,326.767883695423,299.48,16,282.6
2018,00-0027948,Blaine Gabbert,QB,ARI,82.70032652055185,11.955443379596609,146.501674588297,61.64,5,33.04
2018,00-0027973,Andy Dalton,QB,CIN,209.77283661601345,184.32661252513643,269.4163373398323,210.7,16,174.54
2018,00-0028012,Ryan Mallett,QB,BAL,2.3678604828643266,1.3400911201435814,41.07447670294549,9.94,2,
2018,00-0028090,T.J. Yates,QB,HOU,58.162056777813795,9.04495719150704,104.33392654403424,34.02,4,
2018,00-0028118,Tyrod Taylor,QB,BUF,220.91262694493557,179.65389083743787,271.8143521854512,222.66,15,41.42
2018,00-0028595,Scott Tolzien,QB,IND,61.77791071672781,5.216434665550863,109.04794900242078,1.32,1,
2018,00-0028957,Austin Davis,QB,SEA,25.497500507117742,4.818558455912477,49.87717687391236,-0.1,1,
2018,00-0028986,Case Keenum,QB,MIN,171.0481509762062,128.61118340017637,221.13070506916475,237.88,15,214.9
2018,00-0029263,Russell Wilson,QB,SEA,271.1444750843006,218.0177573046563,337.8828696606556,347.92,16,299.42
2018,00-0029567,Nick Foles,QB,PHI,99.94856765084866,3.5336909988897993,128.11409323600662,33.78,7,76.72
2018,00-0029604,Kirk Cousins,QB,WAS,296.6122343393839,234.85873838844176,347.8490229766872,277.62,16,283.12
2018,00-0029682,Brock Osweiler,QB,DEN,91.72761353733615,7.225372882069333,145.56492891851175,67.92,6,67.98
2018,00-0030151,Tyler Bray,QB,KC,30.759785590006494,9.171368881939488,64.49051931275535,-2.0,1,
2018,00-0030520,Mike Glennon,QB,CHI,53.95372314958941,5.833836695369809,125.4863001129102,33.72,4,10.96
2018,00-0030524,Landry Jones,QB,PIT,28.162085034281095,4.5362870955001116,57.696996671033574,8.56,3,
2018,00-0030526,EJ Manuel,QB,LV,26.473070350992966,3.6032589533644765,61.57865270093651,14.1,2,
2018,00-0030565,Geno Smith,QB,NYG,34.634420467011445,7.547128948664717,56.8738686732314,9.68,2,-1.4800000000000002
2018,00-0031064,Tom Savage,QB,HOU,132.48783629917315,7.3279239424517515,167.82261087236012,50.68,8,
2018,00-0031076,David Fales,QB,MIA,15.780657035998514,2.984211772261687,97.1714047206962,19.4,2,
2018,00-0031237,Teddy Bridgewater,QB,MIN,37.526765548988614,9.540683623036143,78.5127528646864,-2.3,1,7.22
2018,00-0031280,Derek Carr,QB,LV,250.39022263692718,198.11077457794255,289.95417437488277,208.44,15,216.76
2018,00-0031288,AJ McCarron,QB,CIN,36.55249995062134,10.080350534892894,49.368073570962125,2.64,2,0.12
2018,00-0031345,Jimmy Garoppolo,QB,SF,94.08816367889311,18.191109848722043,174.31775823484816,87.9,6,48.02
2018,00-0031407,Blake Bortles,QB,JAX,259.86646731458825,223.5722124215637,280.11401739550655,249.68,16,173.22
2018,00-0031503,Jameis Winston,QB,TB,256.3647737809045,202.94379530662775,277.77208970378643,201.66,13,195.78
2018,00-0031568,Bryce Petty,QB,NYJ,17.5695524955465,1.787953065648266,60.660820158723006,25.26,4,
2018,00-0031589,Brett Hundley,QB,GB,98.91202282716574,46.06759094625635,166.4879225659097,124.44,11,
2018,00-0031800,Taylor Heinicke,QB,HOU,53.77089255955077,9.57652066395262,125.60462647077387,0.6,1,13.9
2018,00-0032156,Trevor Siemian,QB,DEN,113.07295491482081,43.6451130812438,216.89097227842817,126.1,11,
2018,00-0032245,Sean Mannion,QB,LA,36.50413035482643,13.511492928183449,54.24023689785786,5.2,5,0.0199999999999999
2018,00-0032268,Marcus Mariota,QB,TEN,210.36839733526008,177.93605813527213,269.71941868232597,210.48,15,175.92000000000002
2018,00-0032431,Jake Rudock,QB,DET,30.48273022619222,4.593833587957975,94.27539719992207,-1.04,1,
2018,00-0032630,Joe Callahan,QB,GB,47.97000419696171,16.109634484520907,126.02583076515451,0.44,1,
2018,00-0032784,Kevin Hogan,QB,CLE,29.21246980014392,6.917698909743971,80.5933459026033,33.78,4,
2018,00-0032792,Nate Sudfeld,QB,PHI,24.328936168470804,4.34507018692177,104.0220905574491,7.56,1,4.68
2018,00-0032950,Carson Wentz,QB,PHI,253.49554176370202,222.15385312411365,276.091709829449,283.74,13,193.66
2018,00-0033077,Dak Prescott,QB,DAL,251.91351970676058,225.23978073981974,284.53411519394757,260.66,16,285.9
2018,00-0033104,Cody Kessler,QB,CLE,43.48768896301276,9.112903092506196,59.98584805894088,2.9400000000000004,3,38.66
2018,00-0033106,Jared Goff,QB,LA,205.20750764704312,182.081994728129,253.01475603511045,255.26,15,312.32
2018,00-0033108,Paxton Lynch,QB,DEN,32.886962989362715,1.0992271272072145,124.2322533674656,14.8,2,
2018,00-0033119,Jacoby Brissett,QB,IND,157.49005512500307,96.82674432788663,246.0499327350675,205.92,16,-0.62
2018,00-0033537,Deshaun Watson,QB,HOU,221.26576637986895,144.34303028236133,266.2059812001679,168.86,7,331.7
2018,00-0033662,Cooper Rush,QB,DAL,46.47056691879848,7.300432310948543,82.08510186061753,1.38,2,
2018,00-0033869,Mitchell Trubisky,QB,CHI,101.32964287451479,59.99493793788258,198.9099777387359,134.52,12,263.02
2018,00-0033873,Patrick Mahomes,QB,KC,43.07809596910923,17.86626713541313,161.769358321886,10.36,1,417.08
2018,00-0033899,DeShone Kizer,QB,CLE,175.33916608840823,136.95141935091132,237.88960193703707,175.66,15,5.38
2018,00-0033936,C.J. Beathard,QB,SF,57.823751835144215,28.172077826225568,142.85189782654393,88.8,6,74.98
2018,00-0033958,Nathan Peterman,QB,BUF,33.56878825031979,1.6394495510462437,131.38540409153742,9.54,4,12.840000000000002
2018,00-0022999,John Kuhn,RB,NO,11.133917816393035,1.521196545985745,32.04417337826052,0.2,1,
2018,00-0023500,Frank Gore,RB,IND,156.20681112904248,97.76678529319746,193.5440931036672,173.6,16,102.6
2018,00-0023564,Darren Sproles,RB,PHI,63.778076548263776,15.64245364571519,87.8564977545546,20.4,3,61.0
2018,00-0025394,Adrian Peterson,RB,ARI,90.13253511004426,41.490714707012344,165.15714649628072,68.4,6,189.0
2018,00-0025399,Marshawn Lynch,RB,LV,131.27134786850053,74.9877290914372,181.5978660142686,164.2,15,79.0
2018,00-0026019,Danny Woodhead,RB,BAL,71.15968879584864,16.511906450490347,119.41418000142711,58.6,8,
2018,00-0026069,Mike Tolbert,RB,BUF,64.28440160501118,17.019015002122458,100.73752238653326,50.5,12,
2018,00-0026144,Darren McFadden,RB,DAL,43.665136233374945,2.813630650746019,71.9595925233496,-0.2,1,
2018,00-0026153,Jonathan Stewart,RB,CAR,75.78821580266676,38.30705909932291,138.60563815889122,117.2,15,1.7000000000000002
2018,00-0026164,Chris Johnson,RB,ARI,76.95893076088873,24.47314626498922,89.0921809349754,20.7,4,
