gsis_id,pfr_player_id,player_name,player_name_norm,position,hs_class,birth_date,draft_year,college,draft_team
00-0030564,HopkDe00,DeAndre Hopkins,deandre hopkins,WR,2010,1992-06-06,2013,Clemson,HOU
00-0030521,HuntJu00,Justin Hunter,justin hunter,WR,2010,1991-05-20,2013,Tennessee,TEN
00-0030456,BernGi00,Giovani Bernard,giovani bernard,RB,2010,1991-11-22,2013,North Carolina,CIN
00-0030431,WoodRo02,Robert Woods,robert woods,WR,2010,1992-04-10,2013,USC,BUF
00-0030496,BellLe00,Le'Veon Bell,le veon bell,RB,2010,1992-02-18,2013,Michigan St.,PIT
00-0030279,AlleKe00,Keenan Allen,keenan allen,WR,2010,1992-04-27,2013,California,SDG
00-0030550,SandAc00,Ace Sanders,ace sanders,WR,2010,1991-11-11,2013,South Carolina,JAX
00-0030474,BoycJo00,Josh Boyce,josh boyce,WR,2011,1991-05-06,2013,TCU,NWE
00-0030497,LattMa00,Marcus Lattimore,marcus lattimore,RB,2010,,2013,South Carolina,SFO
00-0030085,StilKe00,Kenny Stills,kenny stills,WR,2010,1992-04-22,2013,Oklahoma,NOR
00-0030388,RandJo01,Joseph Randle,joseph randle,RB,2010,1991-12-29,2013,Oklahoma St.,DAL
00-0030414,WareSp00,Spencer Ware,spencer ware,RB,2010,1991-11-23,2013,LSU,SEA
00-0030415,JamiJa00,Jawan Jamison,jawan jamison,RB,2010,1991-11-23,2013,Rutgers,WAS
00-0030047,WilsMa02,Marquess Wilson,marquess wilson,WR,2010,1992-09-14,2013,Washington St.,CHI
00-0031407,BortBl00,Blake Bortles,blake bortles,QB,2010,1992-04-28,2014,Central Florida,JAX
00-0031325,WatkSa00,Sammy Watkins,sammy watkins,WR,2011,1993-06-14,2014,Clemson,BUF
00-0031408,EvanMi00,Mike Evans,mike evans,WR,2011,1993-08-21,2014,Texas A&M,TAM
00-0031387,EbroEr00,Eric Ebron,eric ebron,TE,2011,1993-04-10,2014,North Carolina,DET
00-0031235,BeckOd00,Odell Beckham Jr.,odell beckham,WR,2011,1992-11-05,2014,LSU,NYG
00-0031236,CookBr00,Brandin Cooks,brandin cooks,WR,2011,1993-09-25,2014,Oregon St.,NOR
00-0031409,ManzJo00,Johnny Manziel,johnny manziel,QB,2011,1992-12-06,2014,Texas A&M,CLE
00-0031359,BenjKe00,Kelvin Benjamin,kelvin benjamin,WR,2011,1991-02-05,2014,Florida St.,CAR
00-0031237,BridTe00,Teddy Bridgewater,teddy bridgewater,QB,2011,1992-11-10,2014,Louisville,MIN
00-0031418,SefeAu00,Austin Seferian-Jenkins,austin seferian jenkins,TE,2011,1992-09-29,2014,Washington,TAM
00-0031431,LeexMa00,Marqise Lee,marqise lee,WR,2011,1991-11-25,2014,USC,JAX
00-0031299,MattJo00,Jordan Matthews,jordan matthews,WR,2010,1992-07-16,2014,Vanderbilt,PHI
00-0031257,RichPa01,Paul Richardson,paul richardson,WR,2010,1992-04-13,2014,Colorado,SEA
00-0031042,AmarJa00,Jace Amaro,jace amaro,TE,2011,1992-06-26,2014,Texas Tech,NYJ
00-0031044,NiklTr00,Troy Niklas,troy niklas,TE,2011,1992-09-18,2014,Notre Dame,ARI
00-0031381,AdamDa01,Davante Adams,davante adams,WR,2011,1992-12-24,2014,Fresno St.,GNB
00-0031413,SankBi00,Bishop Sankey,bishop sankey,RB,2011,1992-09-15,2014,Washington,TEN
00-0031301,HillJe01,Jeremy Hill,jeremy hill,RB,2011,1992-10-20,2014,LSU,CIN
00-0031344,LatiCo00,Cody Latimer,cody latimer,WR,2011,1992-10-10,2014,Indiana,DEN
00-0031428,RobiAl02,Allen Robinson,allen robinson,WR,2011,1993-08-24,2014,Penn St.,JAX
00-0031382,LandJa00,Jarvis Landry,jarvis landry,WR,2011,1992-11-28,2014,LSU,MIA
00-0031302,FiedC.00,C.J. Fiedorowicz,c j fiedorowicz,TE,2010,1991-10-22,2014,Iowa,HOU
00-0031391,MasoTr00,Tre Mason,tre mason,RB,2011,1993-08-06,2014,Auburn,STL
00-0030990,HuffJo00,Josh Huff,josh huff,WR,2010,1991-10-14,2014,Oregon,PHI
00-0031339,MoncDo00,Donte Moncrief,donte moncrief,WR,2011,1993-08-06,2014,Mississippi,IND
00-0031376,McKiJe00,Jerick McKinnon,jerick mckinnon,RB,2010,1992-05-03,2014,Georgia Southern,MIN
00-0031384,RodgRi00,Richard Rodgers,richard rodgers,TE,2011,1992-01-22,2014,California,GNB
00-0031285,FreeDe00,Devonta Freeman,devonta freeman,RB,2011,1992-03-15,2014,Florida St.,ATL
00-0031053,SaunJa00,Jalen Saunders,jalen saunders,WR,2010,1992-09-30,2014,Oklahoma,NYJ
00-0031055,WillAn00,Andre Williams,andre williams,RB,2010,1992-08-28,2014,Boston Col.,NYG
00-0031057,CareKa00,Ka'Deem Carey,ka deem carey,RB,2011,1992-10-30,2014,Arizona,CHI
00-0031060,ThomDe05,De'Anthony Thomas,de anthony thomas,RB,2011,1993-01-05,2014,Oregon,KAN
00-0031062,WhitJa02,James White,james white,RB,2010,1992-02-03,2014,Wisconsin,NWE
00-0031075,BlueAl00,Alfred Blue,alfred blue,RB,2010,1991-04-27,2014,LSU,HOU
00-0031187,HerrRo00,Robert Herron,robert herron,WR,2010,1992-06-02,2014,Wyoming,TAM
00-0031078,SeasLa00,Lache Seastrunk,lache seastrunk,RB,2010,,2014,Baylor,WAS
00-0031189,JoneT.00,T.J. Jones,t j jones,WR,2010,1992-07-19,2014,Notre Dame,DET
00-0031315,HazeMa01,Matt Hazel,matt hazel,WR,2010,1992-01-23,2014,Coastal Carolina,MIA
00-0031023,EnunQu00,Quincy Enunwa,quincy enunwa,WR,2010,1992-05-31,2014,Nebraska,NYJ
00-0031085,ProsJa00,Jay Prosch,jay prosch,RB,2010,1992-08-21,2014,Auburn,HOU
00-0031243,JohnSt03,Storm Johnson,storm johnson,RB,2010,1992-07-10,2014,Central Florida,JAX
00-0031291,WrigJa03,James Wright,james wright,WR,2010,1991-12-31,2014,LSU,CIN
00-0031271,MillTr00,Trey Millard,trey millard,RB,2010,1991-07-21,2014,Oklahoma,SFO
00-0031503,WinsJa00,Jameis Winston,jameis winston,QB,2012,1994-01-06,2015,Florida St.,TAM
00-0032268,MariMa01,Marcus Mariota,marcus mariota,QB,2011,1993-10-30,2015,Oregon,TEN
00-0031544,CoopAm00,Amari Cooper,amari cooper,WR,2012,1994-06-17,2015,Alabama,OAK
00-0031545,WhitKe00,Kevin White,kevin white,WR,2011,1992-06-25,2015,West Virginia,CHI
00-0032241,GurlTo01,Todd Gurley,todd gurley,RB,2012,1994-08-03,2015,Georgia,STL
00-0031547,ParkDe01,DeVante Parker,devante parker,WR,2011,1993-01-20,2015,Louisville,MIA
00-0032144,GordMe00,Melvin Gordon,melvin gordon,RB,2011,1993-04-13,2015,Wisconsin,SDG
00-0031549,AghoNe00,Nelson Agholor,nelson agholor,WR,2012,1993-05-24,2015,USC,PHI
00-0032054,PerrBr02,Breshad Perriman,breshad perriman,WR,2011,1993-09-10,2015,Central Florida,BAL
00-0032208,DorsPh00,Phillip Dorsett,phillip dorsett,WR,2011,1993-01-05,2015,Miami (FL),IND
00-0032209,YeldT.00,T.J. Yeldon,t j yeldon,RB,2012,1993-10-02,2015,Alabama,JAX
00-0031934,SmitDe04,Devin Smith,devin smith,WR,2011,1992-03-03,2015,Ohio St.,NYJ
00-0032218,GreeDo00,Dorial Green-Beckham,dorial green beckham,WR,2012,1993-04-12,2015,Oklahoma,TEN
00-0032055,FuncDe00,Devin Funchess,devin funchess,WR,2012,1994-05-21,2015,Michigan,CAR
00-0032104,AbduAm00,Ameer Abdullah,ameer abdullah,RB,2011,1993-06-13,2015,Nebraska,DET
00-0031558,WillMa04,Maxx Williams,maxx williams,TE,2012,1994-04-12,2015,Minnesota,BAL
00-0032211,LockTy00,Tyler Lockett,tyler lockett,WR,2011,1992-09-28,2015,Kansas St.,SEA
00-0031560,StroJa01,Jaelen Strong,jaelen strong,WR,2012,1994-01-25,2015,Arizona St.,HOU
00-0032058,ColeTe01,Tevin Coleman,tevin coleman,RB,2012,1993-04-16,2015,Indiana,ATL
00-0032128,ConlCh00,Chris Conley,chris conley,WR,2011,1992-10-25,2015,Georgia,KAN
00-0032257,JohnDu00,Duke Johnson,duke johnson,RB,2012,1993-09-23,2015,Miami (FL),CLE
00-0032214,KrofTy00,Tyler Kroft,tyler kroft,TE,2011,1992-10-15,2015,Rutgers,CIN
00-0032166,CoatSa00,Sammie Coates,sammie coates,WR,2011,1993-03-31,2015,Auburn,PIT
00-0032245,MannSe00,Sean Mannion,sean mannion,QB,2010,1992-04-25,2015,Oregon St.,STL
00-0032227,HeueJe00,Jeff Heuerman,jeff heuerman,TE,2011,1992-11-24,2015,Ohio St.,DEN
00-0032200,MontTy01,Ty Montgomery,ty montgomery,WR,2011,1993-01-22,2015,Stanford,GNB
00-0031939,JoneMa04,Matt Jones,matt jones,RB,2012,1993-03-07,2015,Florida,WAS
00-0031941,CrowJa00,Jamison Crowder,jamison crowder,WR,2011,1993-06-17,2015,Duke,WAS
