gsis_id,player_name,player_name_norm,position,draft_year,ff_ecr,ff_adp,ff_adp_rank,ff_rankings_note
00-0030564,DeAndre Hopkins,deandre hopkins,WR,2013,114.0,117.5,114.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030521,Justin Hunter,justin hunter,WR,2013,280.0,274.7,280.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030456,Giovani Bernard,giovani bernard,RB,2013,54.0,55.8,54.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030431,Robert Woods,robert woods,WR,2013,216.0,218.0,216.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030496,Le'Veon Bell,le veon bell,RB,2013,141.0,88.7,141.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030279,Keenan Allen,keenan allen,WR,2013,240.0,246.0,240.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030550,Ace Sanders,ace sanders,WR,2013,350.0,309.0,350.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030474,Josh Boyce,josh boyce,WR,2013,301.0,291.0,301.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030497,Marcus Lattimore,marcus lattimore,RB,2013,223.0,223.3,223.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030085,Kenny Stills,kenny stills,WR,2013,214.0,216.0,214.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030388,Joseph Randle,joseph randle,RB,2013,177.0,188.5,177.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030414,Spencer Ware,spencer ware,RB,2013,,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=50.0).
00-0030415,Jawan Jamison,jawan jamison,RB,2013,,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=51.85185185185186).
00-0030047,Marquess Wilson,marquess wilson,WR,2013,,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=62.06896551724138).
00-0031407,Blake Bortles,blake bortles,QB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=45.16129032258065).
00-0031325,Sammy Watkins,sammy watkins,WR,2014,110.0,110.0,110.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031408,Mike Evans,mike evans,WR,2014,102.0,102.0,102.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031387,Eric Ebron,eric ebron,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=50.0).
00-0031235,Odell Beckham Jr.,odell beckham,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=50.0).
00-0031236,Brandin Cooks,brandin cooks,WR,2014,76.0,76.0,76.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031409,Johnny Manziel,johnny manziel,QB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=42.85714285714286).
00-0031359,Kelvin Benjamin,kelvin benjamin,WR,2014,87.0,87.0,87.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031237,Teddy Bridgewater,teddy bridgewater,QB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=44.44444444444444).
00-0031418,Austin Seferian-Jenkins,austin seferian jenkins,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=40.0).
00-0031431,Marqise Lee,marqise lee,WR,2014,149.0,149.0,149.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031299,Jordan Matthews,jordan matthews,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=53.84615384615385).
00-0031257,Paul Richardson,paul richardson,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=51.85185185185186).
00-0031042,Jace Amaro,jace amaro,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=58.33333333333333).
00-0031044,Troy Niklas,troy niklas,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=48.0).
00-0031381,Davante Adams,davante adams,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=51.85185185185186).
00-0031413,Bishop Sankey,bishop sankey,RB,2014,67.0,67.0,67.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031301,Jeremy Hill,jeremy hill,RB,2014,95.0,95.0,95.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031344,Cody Latimer,cody latimer,WR,2014,154.0,154.0,154.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031428,Allen Robinson,allen robinson,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=64.28571428571428).
00-0031382,Jarvis Landry,jarvis landry,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=56.00000000000001).
00-0031302,C.J. Fiedorowicz,c j fiedorowicz,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=41.379310344827594).
00-0031391,Tre Mason,tre mason,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=60.86956521739131).
00-0030990,Josh Huff,josh huff,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=45.45454545454546).
00-0031339,Donte Moncrief,donte moncrief,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=48.0).
00-0031376,Jerick McKinnon,jerick mckinnon,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=44.44444444444444).
00-0031384,Richard Rodgers,richard rodgers,TE,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=44.44444444444444).
00-0031285,Devonta Freeman,devonta freeman,RB,2014,104.0,104.0,104.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031053,Jalen Saunders,jalen saunders,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=66.66666666666667).
00-0031055,Andre Williams,andre williams,RB,2014,114.0,114.0,114.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031057,Ka'Deem Carey,ka deem carey,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=51.85185185185186).
00-0031060,De'Anthony Thomas,de anthony thomas,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=53.333333333333336).
00-0031062,James White,james white,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=48.0).
00-0031075,Alfred Blue,alfred blue,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=58.33333333333333).
00-0031187,Robert Herron,robert herron,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=48.0).
00-0031078,Lache Seastrunk,lache seastrunk,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=50.0).
00-0031189,T.J. Jones,t j jones,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=60.0).
00-0031315,Matt Hazel,matt hazel,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=41.666666666666664).
00-0031023,Quincy Enunwa,quincy enunwa,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=46.15384615384615).
00-0031085,Jay Prosch,jay prosch,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=55.55555555555556).
00-0031243,Storm Johnson,storm johnson,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=55.172413793103445).
00-0031291,James Wright,james wright,WR,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=61.53846153846154).
00-0031271,Trey Millard,trey millard,RB,2014,,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=60.86956521739131).
00-0031503,Jameis Winston,jameis winston,QB,2015,187.0,162.7,187.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032268,Marcus Mariota,marcus mariota,QB,2015,171.0,182.3,171.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031544,Amari Cooper,amari cooper,WR,2015,40.0,45.0,40.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031545,Kevin White,kevin white,WR,2015,178.0,141.3,178.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032241,Todd Gurley,todd gurley,RB,2015,61.0,62.5,61.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031547,DeVante Parker,devante parker,WR,2015,114.0,118.3,114.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032144,Melvin Gordon,melvin gordon,RB,2015,34.0,37.0,34.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031549,Nelson Agholor,nelson agholor,WR,2015,69.0,68.8,69.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032054,Breshad Perriman,breshad perriman,WR,2015,124.0,126.8,124.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032208,Phillip Dorsett,phillip dorsett,WR,2015,165.0,176.0,165.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032209,T.J. Yeldon,t j yeldon,RB,2015,55.0,56.0,55.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031934,Devin Smith,devin smith,WR,2015,380.0,355.0,380.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032218,Dorial Green-Beckham,dorial green beckham,WR,2015,162.0,167.3,162.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
