rank,factor,dataset_block,abs_corr_rookie_ppr,signed_corr_rookie_ppr,impact_0_100,n_pairs,direction
1,draft_overall,draft_capital,0.5704,-0.5704,100.0,736,-
2,draft_round,draft_capital,0.5624,-0.5624,98.6,736,-
3,ff_adp_rank,pre_draft_fantasy,0.5331,-0.5331,93.5,511,-
4,ff_adp,pre_draft_fantasy,0.5073,-0.5073,88.9,511,-
5,age_at_draft,timing,0.2589,-0.2589,45.4,736,-
6,cfb_pass_td,college_production,0.2288,0.2288,40.1,176,+
7,cfb_pass_yards,college_production,0.191,0.191,33.5,176,+
8,recruiting_stars,recruiting,0.1769,0.1769,31.0,615,+
9,cone,combine,0.1533,-0.1533,26.9,344,-
10,forty,combine,0.1473,-0.1473,25.8,548,-
11,cfb_rec_yards,college_production,0.14,0.14,24.5,630,+
12,cfb_rush_td,college_production,0.1358,0.1358,23.8,502,+
13,shuttle,combine,0.1354,-0.1354,23.7,362,-
14,cfb_rec,college_production,0.1347,0.1347,23.6,630,+
15,cfb_rec_td,college_production,0.1312,0.1312,23.0,630,+
16,recruiting_rank,recruiting,0.1237,-0.1237,21.7,615,-
17,broad_jump,combine,0.1022,0.1022,17.9,522,+
18,cfb_rush_yards,college_production,0.1008,0.1008,17.7,502,+
19,wt,combine,0.0986,-0.0986,17.3,650,-
20,vertical,combine,0.0892,0.0892,15.6,543,+
21,ht_inches,combine,0.0876,-0.0876,15.4,649,-
22,hs_class,timing,0.0871,0.0871,15.3,736,+
23,bench,combine,0.0368,-0.0368,6.5,352,-
24,off_rush_yards,team_context,0.0233,-0.0233,4.1,556,-
25,sos_opp_win_pct,team_context,0.0224,-0.0224,3.9,565,-
26,off_pass_rate_proxy,team_context,0.0144,0.0144,2.5,556,+
27,off_pass_yards,team_context,0.0122,-0.0122,2.1,556,-
28,team_opportunity_ppr,team_context,0.0052,-0.0052,0.9,542,-
