rank,factor,dataset_block,abs_corr_rookie_ppr,signed_corr_rookie_ppr,impact_0_100,n_pairs,direction
1,draft_overall,draft_capital,0.5324,-0.5324,100.0,305,-
2,draft_round,draft_capital,0.5174,-0.5174,97.2,305,-
3,cfb_pass_td,college_production,0.5094,0.5094,95.7,78,+
4,cfb_pass_yards,college_production,0.4715,0.4715,88.6,78,+
5,ff_adp_rank,pre_draft_fantasy,0.4217,-0.4217,79.2,230,-
6,ff_adp,pre_draft_fantasy,0.3965,-0.3965,74.5,230,-
7,age_at_draft,timing,0.2453,-0.2453,46.1,305,-
8,cone,combine,0.2379,-0.2379,44.7,169,-
9,shuttle,combine,0.1383,-0.1383,26.0,180,-
10,wt,combine,0.1348,-0.1348,25.3,274,-
11,cfb_rush_td,college_production,0.1345,0.1345,25.3,217,+
12,recruiting_stars,recruiting,0.1196,0.1196,22.5,254,+
13,hs_class,timing,0.1179,0.1179,22.1,305,+
14,forty,combine,0.1148,-0.1148,21.6,247,-
15,bench,combine,0.1114,-0.1114,20.9,194,-
16,team_pos_receptions,team_context,0.1112,-0.1112,20.9,288,-
17,team_pos_targets,team_context,0.1052,-0.1052,19.8,288,-
18,incumbent_pos_targets,team_context,0.1019,-0.1019,19.1,264,-
19,recruiting_rank,recruiting,0.1001,-0.1001,18.8,254,-
20,cfb_rec_yards,college_production,0.0977,0.0977,18.4,273,+
21,vacated_carries,team_context,0.0945,0.0945,17.7,288,+
22,cfb_rush_yards,college_production,0.0943,0.0943,17.7,217,+
23,cfb_rec,college_production,0.0935,0.0935,17.6,273,+
24,cfb_rec_td,college_production,0.0866,0.0866,16.3,273,+
25,ht_inches,combine,0.0827,-0.0827,15.5,274,-
26,off_rush_yards,team_context,0.072,0.072,13.5,305,+
27,team_pos_carries,team_context,0.0569,0.0569,10.7,288,+
28,broad_jump,combine,0.0533,0.0533,10.0,233,+
29,incumbent_pos_ppr_sum,team_context,0.0516,-0.0516,9.7,264,-
30,vacated_touches,team_context,0.0481,0.0481,9.0,288,+
31,vertical,combine,0.036,0.036,6.8,241,+
32,incumbent_pos_ppr,team_context,0.0239,-0.0239,4.5,264,-
33,sos_opp_win_pct,team_context,0.0233,-0.0233,4.4,305,-
34,off_pass_rate_proxy,team_context,0.0231,-0.0231,4.3,305,-
35,incumbent_pos_touches,team_context,0.0219,-0.0219,4.1,264,-
36,incumbent_pos_carries,team_context,0.0147,0.0147,2.8,264,+
37,team_opportunity_ppr,team_context,0.0107,0.0107,2.0,288,+
38,off_pass_yards,team_context,0.0077,0.0077,1.4,305,+
39,team_pos_touches,team_context,0.0062,0.0062,1.2,288,+
