gsis_id,player_name,position,draft_year,draft_team,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches
00-0030564,DeAndre Hopkins,WR,2013,HOU,0.55859375,16.0,4183.0,1743.0,0.6045845272206304,,,,,,,,,,
00-0030521,Justin Hunter,WR,2013,TEN,0.50390625,16.0,3710.0,1894.0,0.535678391959799,,,,,,,,,,
00-0030456,Giovani Bernard,RB,2013,CIN,0.4765625,16.0,4318.0,1755.0,0.549625468164794,,,,,,,,,,
00-0030431,Robert Woods,WR,2013,BUF,0.51953125,16.0,3373.0,2307.0,0.4887640449438202,,,,,,,,,,
00-0030496,Le'Veon Bell,RB,2013,PIT,0.46484375,16.0,4306.0,1383.0,0.5979591836734693,,,,,,,,,,
00-0030279,Keenan Allen,WR,2013,SDG,0.49609375,16.0,4478.0,1965.0,0.5281553398058253,,,,,,,,,,
00-0030550,Ace Sanders,WR,2013,JAX,0.50390625,16.0,3751.0,1260.0,0.6103092783505155,,,,,,,,,,
00-0030474,Josh Boyce,WR,2013,NWE,0.47265625,16.0,4343.0,2065.0,0.5719489981785064,,,,,,,,,,
00-0030497,Marcus Lattimore,RB,2013,SFO,0.4921875,16.0,3210.0,2201.0,0.4522776572668113,,,,,,,,,,
00-0030085,Kenny Stills,WR,2013,NOR,0.515625,16.0,5162.0,1473.0,0.6247600767754319,,,,,,,,,,
00-0030388,Joseph Randle,RB,2013,DAL,0.48046875,16.0,4226.0,1504.0,0.6355748373101953,,,,,,,,,,
00-0030414,Spencer Ware,RB,2013,SEA,0.48828125,16.0,3508.0,2188.0,0.4520990312163617,,,,,,,,,,
00-0030415,Jawan Jamison,RB,2013,WAS,0.51171875,16.0,4057.0,2164.0,0.5742481203007519,,,,,,,,,,
00-0030047,Marquess Wilson,WR,2013,CHI,0.45703125,16.0,4450.0,1828.0,0.5890132248219736,,,,,,,,,,
00-0031407,Blake Bortles,QB,2014,JAX,0.51171875,16.0,3451.0,1633.0,0.6074154852780806,173.78,36.0,0.0,0.0,36.0,161.34,161.34,27.0,0.0,27.0
00-0031325,Sammy Watkins,WR,2014,BUF,0.515625,16.0,3856.0,1482.0,0.5902140672782875,271.7,9.0,192.0,90.0,99.0,120.3,201.2,3.0,85.0,42.0
00-0031408,Mike Evans,WR,2014,TAM,0.48046875,16.0,3623.0,1375.0,0.6006787330316742,,,,,,,,,,
00-0031387,Eric Ebron,TE,2014,DET,0.46875,16.0,4284.0,1422.0,0.604,,,,,,,,,,
00-0031235,Odell Beckham Jr.,WR,2014,NYG,0.51171875,16.0,4470.0,1603.0,0.5748106060606061,346.6,0.0,214.0,120.0,120.0,194.8,332.9,0.0,122.0,73.0
00-0031236,Brandin Cooks,WR,2014,NOR,0.48046875,16.0,4952.0,1818.0,0.6187793427230047,127.1,3.0,50.0,32.0,35.0,127.1,127.1,3.0,50.0,35.0
00-0031409,Johnny Manziel,QB,2014,CLE,0.47265625,16.0,3678.0,1728.0,0.5127681307456589,129.84,18.0,0.0,0.0,18.0,,,,,
00-0031359,Kelvin Benjamin,WR,2014,CAR,0.48828125,16.0,3828.0,2036.0,0.5353634577603144,267.7,6.0,153.0,85.0,91.0,,,,,
00-0031237,Teddy Bridgewater,QB,2014,MIN,0.47265625,16.0,3566.0,1804.0,0.5559139784946237,116.28,18.0,11.0,5.0,23.0,107.98,107.98,18.0,0.0,18.0
00-0031418,Austin Seferian-Jenkins,TE,2014,TAM,0.48046875,16.0,3623.0,1375.0,0.6006787330316742,141.3,1.0,75.0,54.0,55.0,,,,,
00-0031431,Marqise Lee,WR,2014,JAX,0.51171875,16.0,3451.0,1633.0,0.6074154852780806,,,,,,,,,,
00-0031299,Jordan Matthews,WR,2014,PHI,0.48828125,16.0,4581.0,1992.0,0.5671232876712329,269.4,3.0,125.0,82.0,85.0,,,,,
00-0031257,Paul Richardson,WR,2014,SEA,0.5234375,16.0,3492.0,2762.0,0.4637385086823289,425.9,5.0,209.0,136.0,141.0,158.4,239.0,2.0,73.0,52.0
00-0031042,Jace Amaro,TE,2014,NYJ,0.54296875,16.0,3206.0,2243.0,0.4955223880597015,89.8,0.0,39.0,26.0,26.0,89.8,89.8,0.0,39.0,26.0
00-0031044,Troy Niklas,TE,2014,ARI,0.5234375,16.0,3990.0,1308.0,0.5886010362694301,57.5,0.0,32.0,26.0,26.0,,,,,
00-0031381,Davante Adams,WR,2014,GNB,0.48046875,16.0,4447.0,1917.0,0.5520082389289392,387.9,4.0,188.0,126.0,130.0,264.4,370.5,4.0,127.0,85.0
00-0031413,Bishop Sankey,RB,2014,TEN,0.50390625,16.0,3738.0,1447.0,0.5903337169159953,240.2,279.0,52.0,42.0,321.0,,,,,
00-0031301,Jeremy Hill,RB,2014,CIN,0.49609375,16.0,3551.0,2147.0,0.5055276381909548,224.6,178.0,70.0,56.0,234.0,222.9,224.6,170.0,70.0,226.0
00-0031344,Cody Latimer,WR,2014,DEN,0.51953125,16.0,4779.0,1785.0,0.5780952380952381,598.8,0.0,278.0,179.0,179.0,319.0,319.0,0.0,142.0,92.0
00-0031428,Allen Robinson,WR,2014,JAX,0.51171875,16.0,3451.0,1633.0,0.6074154852780806,,,,,,,,,,
00-0031382,Jarvis Landry,WR,2014,MIA,0.51171875,16.0,4066.0,1872.0,0.5985915492957746,297.1,3.0,208.0,114.0,117.0,199.3,297.1,3.0,141.0,76.0
00-0031302,C.J. Fiedorowicz,TE,2014,HOU,0.4453125,16.0,3460.0,2161.0,0.46814671814671815,49.4,0.0,28.0,19.0,19.0,,,,,
