gsis_id,player_name,position,team,season,week,opponent,is_bye,proj_pass_yds,proj_pass_td,proj_int,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,week_points,week_points_ppr_basis,rush_multiplier,pass_multiplier,opp_def_rush_z,opp_def_pass_z,matchup
00-0026498,Matthew Stafford,QB,LA,2026,1,SF,False,275.25,1.39,0.58,1.73,0.09,0.02,0.48,0.0,0.16,15.84,15.84,1.014,1.026,0.3,0.597,neutral
00-0026498,Matthew Stafford,QB,LA,2026,2,NYG,False,276.47,1.39,0.58,1.83,0.09,0.02,0.49,0.0,0.16,15.95,15.95,1.075,1.031,1.816,0.697,neutral
00-0026498,Matthew Stafford,QB,LA,2026,3,DEN,False,252.78,1.27,0.58,1.65,0.08,0.02,0.44,0.0,0.16,14.45,14.45,0.967,0.942,-0.906,-1.245,neutral
00-0026498,Matthew Stafford,QB,LA,2026,4,PHI,False,256.5,1.29,0.58,1.64,0.08,0.02,0.45,0.0,0.16,14.67,14.67,0.965,0.956,-0.945,-0.941,neutral
00-0026498,Matthew Stafford,QB,LA,2026,5,BUF,False,261.09,1.31,0.58,1.76,0.09,0.02,0.46,0.0,0.16,14.99,14.99,1.031,0.973,0.721,-0.564,neutral
00-0026498,Matthew Stafford,QB,LA,2026,6,ARI,False,278.17,1.4,0.58,1.74,0.09,0.02,0.49,0.0,0.16,16.02,16.02,1.019,1.037,0.418,0.837,neutral
00-0026498,Matthew Stafford,QB,LA,2026,7,LV,False,272.72,1.37,0.58,1.68,0.08,0.02,0.48,0.0,0.16,15.67,15.67,0.988,1.017,-0.372,0.389,neutral
00-0026498,Matthew Stafford,QB,LA,2026,8,LAC,False,254.3,1.28,0.58,1.66,0.08,0.02,0.45,0.0,0.16,14.54,14.54,0.971,0.948,-0.788,-1.121,neutral
00-0026498,Matthew Stafford,QB,LA,2026,9,WAS,False,282.02,1.42,0.58,1.79,0.09,0.02,0.5,0.0,0.16,16.27,16.27,1.05,1.051,1.2,1.153,neutral
00-0026498,Matthew Stafford,QB,LA,2026,10,ARI,False,278.17,1.4,0.58,1.74,0.09,0.02,0.49,0.0,0.16,16.02,16.02,1.019,1.037,0.418,0.837,neutral
00-0026498,Matthew Stafford,QB,LA,2026,11,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0026498,Matthew Stafford,QB,LA,2026,12,GB,False,266.23,1.34,0.58,1.69,0.08,0.02,0.47,0.0,0.16,15.28,15.28,0.99,0.992,-0.317,-0.143,neutral
00-0026498,Matthew Stafford,QB,LA,2026,13,KC,False,267.4,1.35,0.58,1.67,0.08,0.02,0.47,0.0,0.16,15.34,15.34,0.98,0.997,-0.567,-0.046,neutral
00-0026498,Matthew Stafford,QB,LA,2026,14,SF,False,275.25,1.39,0.58,1.73,0.09,0.02,0.48,0.0,0.16,15.84,15.84,1.014,1.026,0.3,0.597,neutral
00-0026498,Matthew Stafford,QB,LA,2026,15,DAL,False,280.11,1.41,0.58,1.82,0.09,0.02,0.49,0.0,0.16,16.17,16.17,1.071,1.044,1.719,0.996,neutral
00-0026498,Matthew Stafford,QB,LA,2026,16,SEA,False,256.61,1.29,0.58,1.6,0.08,0.02,0.45,0.0,0.16,14.66,14.66,0.939,0.957,-1.597,-0.932,neutral
00-0026498,Matthew Stafford,QB,LA,2026,17,TB,False,270.64,1.36,0.58,1.65,0.08,0.02,0.48,0.0,0.16,15.53,15.53,0.968,1.009,-0.88,0.22,neutral
00-0026498,Matthew Stafford,QB,LA,2026,18,SEA,False,256.61,1.29,0.58,1.6,0.08,0.02,0.45,0.0,0.16,14.66,14.66,0.939,0.957,-1.597,-0.932,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,1,SEA,False,0.02,0.0,0.0,60.1,0.53,2.2,17.86,0.1,0.13,13.51,13.51,0.829,0.973,-1.597,-0.932,tough
00-0040734,TreVeyon Henderson,RB,NE,2026,2,PIT,False,0.02,0.0,0.0,75.33,0.67,2.25,18.26,0.1,0.13,15.95,15.95,1.039,0.995,0.195,-0.292,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,3,JAX,False,0.02,0.0,0.0,71.09,0.63,2.27,18.47,0.1,0.13,15.35,15.35,0.981,1.006,-0.303,0.035,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,4,BUF,False,0.02,0.0,0.0,79.8,0.71,2.23,18.09,0.1,0.13,16.59,16.59,1.101,0.986,0.721,-0.564,soft
00-0040734,TreVeyon Henderson,RB,NE,2026,5,LV,False,0.02,0.0,0.0,70.51,0.62,2.3,18.7,0.1,0.13,15.32,15.32,0.973,1.019,-0.372,0.389,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,6,NYJ,False,0.02,0.0,0.0,77.27,0.68,2.39,19.45,0.11,0.13,16.55,16.55,1.066,1.06,0.424,1.582,soft
00-0040734,TreVeyon Henderson,RB,NE,2026,7,CHI,False,0.02,0.0,0.0,77.4,0.68,2.26,18.39,0.1,0.13,16.3,16.3,1.068,1.002,0.439,-0.095,soft
00-0040734,TreVeyon Henderson,RB,NE,2026,8,MIA,False,0.02,0.0,0.0,74.75,0.66,2.3,18.72,0.1,0.13,15.98,15.98,1.031,1.02,0.127,0.433,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,9,GB,False,0.02,0.0,0.0,70.98,0.63,2.26,18.36,0.1,0.13,15.31,15.31,0.979,1.0,-0.317,-0.143,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,10,DET,False,0.02,0.0,0.0,74.57,0.66,2.22,18.09,0.1,0.13,15.79,15.79,1.029,0.985,0.106,-0.572,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,11,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0040734,TreVeyon Henderson,RB,NE,2026,12,LAC,False,0.02,0.0,0.0,66.98,0.59,2.18,17.74,0.1,0.13,14.54,14.54,0.924,0.966,-0.788,-1.121,tough
00-0040734,TreVeyon Henderson,RB,NE,2026,13,BUF,False,0.02,0.0,0.0,79.8,0.71,2.23,18.09,0.1,0.13,16.59,16.59,1.101,0.986,0.721,-0.564,soft
00-0040734,TreVeyon Henderson,RB,NE,2026,14,MIN,False,0.02,0.0,0.0,66.77,0.59,2.16,17.55,0.1,0.13,14.46,14.46,0.921,0.956,-0.812,-1.413,tough
00-0040734,TreVeyon Henderson,RB,NE,2026,15,KC,False,0.02,0.0,0.0,68.85,0.61,2.27,18.42,0.1,0.13,15.0,15.0,0.95,1.004,-0.567,-0.046,neutral
00-0040734,TreVeyon Henderson,RB,NE,2026,16,NYJ,False,0.02,0.0,0.0,77.27,0.68,2.39,19.45,0.11,0.13,16.55,16.55,1.066,1.06,0.424,1.582,soft
00-0040734,TreVeyon Henderson,RB,NE,2026,17,DEN,False,0.02,0.0,0.0,65.98,0.58,2.17,17.66,0.1,0.13,14.36,14.36,0.91,0.962,-0.906,-1.245,tough
00-0040734,TreVeyon Henderson,RB,NE,2026,18,MIA,False,0.02,0.0,0.0,74.75,0.66,2.3,18.72,0.1,0.13,15.98,15.98,1.031,1.02,0.127,0.433,neutral
00-0040730,RJ Harvey,RB,DEN,2026,1,KC,False,0.02,0.0,0.0,39.18,0.26,2.54,19.4,0.12,0.1,10.48,10.48,0.949,0.997,-0.567,-0.046,neutral
00-0040730,RJ Harvey,RB,DEN,2026,2,JAX,False,0.02,0.0,0.0,40.46,0.26,2.55,19.46,0.12,0.1,10.67,10.67,0.98,1.0,-0.303,0.035,neutral
00-0040730,RJ Harvey,RB,DEN,2026,3,LA,False,0.02,0.0,0.0,40.73,0.27,2.51,19.14,0.12,0.1,10.63,10.63,0.986,0.984,-0.248,-0.434,neutral
00-0040730,RJ Harvey,RB,DEN,2026,4,SF,False,0.02,0.0,0.0,43.38,0.28,2.6,19.83,0.13,0.1,11.18,11.18,1.05,1.019,0.3,0.597,neutral
00-0040730,RJ Harvey,RB,DEN,2026,5,LAC,False,0.02,0.0,0.0,38.11,0.25,2.45,18.69,0.12,0.1,10.14,10.14,0.923,0.96,-0.788,-1.121,tough
00-0040730,RJ Harvey,RB,DEN,2026,6,SEA,False,0.02,0.0,0.0,34.2,0.22,2.47,18.81,0.12,0.1,9.63,9.63,0.828,0.967,-1.597,-0.932,tough
00-0040730,RJ Harvey,RB,DEN,2026,7,ARI,False,0.02,0.0,0.0,43.94,0.29,2.62,19.99,0.13,0.1,11.3,11.3,1.064,1.027,0.418,0.837,soft
00-0040730,RJ Harvey,RB,DEN,2026,8,KC,False,0.02,0.0,0.0,39.18,0.26,2.54,19.4,0.12,0.1,10.48,10.48,0.949,0.997,-0.567,-0.046,neutral
00-0040730,RJ Harvey,RB,DEN,2026,9,CAR,False,0.02,0.0,0.0,47.81,0.31,2.64,20.11,0.13,0.1,11.87,11.87,1.158,1.033,1.217,1.023,soft
00-0040730,RJ Harvey,RB,DEN,2026,10,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0040730,RJ Harvey,RB,DEN,2026,11,LV,False,0.02,0.0,0.0,40.13,0.26,2.58,19.69,0.13,0.1,10.69,10.69,0.972,1.012,-0.372,0.389,neutral
00-0040730,RJ Harvey,RB,DEN,2026,12,PIT,False,0.02,0.0,0.0,42.87,0.28,2.52,19.24,0.12,0.1,10.95,10.95,1.038,0.988,0.195,-0.292,neutral
00-0040730,RJ Harvey,RB,DEN,2026,13,MIA,False,0.02,0.0,0.0,42.54,0.28,2.59,19.72,0.13,0.1,11.03,11.03,1.03,1.013,0.127,0.433,neutral
00-0040730,RJ Harvey,RB,DEN,2026,14,NYJ,False,0.02,0.0,0.0,43.97,0.29,2.69,20.49,0.13,0.1,11.44,11.44,1.065,1.053,0.424,1.582,soft
00-0040730,RJ Harvey,RB,DEN,2026,15,LV,False,0.02,0.0,0.0,40.13,0.26,2.58,19.69,0.13,0.1,10.69,10.69,0.972,1.012,-0.372,0.389,neutral
00-0040730,RJ Harvey,RB,DEN,2026,16,BUF,False,0.02,0.0,0.0,45.41,0.3,2.5,19.06,0.12,0.1,11.26,11.26,1.1,0.979,0.721,-0.564,soft
00-0040730,RJ Harvey,RB,DEN,2026,17,NE,False,0.02,0.0,0.0,41.81,0.27,2.55,19.47,0.12,0.1,10.87,10.87,1.013,1.0,-0.023,0.057,neutral
00-0040730,RJ Harvey,RB,DEN,2026,18,LAC,False,0.02,0.0,0.0,38.11,0.25,2.45,18.69,0.12,0.1,10.14,10.14,0.923,0.96,-0.788,-1.121,tough
00-0031588,Stefon Diggs,WR,NE,2026,1,SEA,False,0.17,0.0,0.0,0.77,0.0,4.09,44.27,0.28,0.01,10.29,10.29,0.889,0.97,-1.597,-0.932,neutral
00-0031588,Stefon Diggs,WR,NE,2026,2,PIT,False,0.17,0.0,0.0,0.89,0.01,4.2,45.4,0.29,0.01,10.57,10.57,1.026,0.994,0.195,-0.292,neutral
00-0031588,Stefon Diggs,WR,NE,2026,3,JAX,False,0.17,0.0,0.0,0.86,0.0,4.25,45.98,0.29,0.01,10.7,10.7,0.987,1.007,-0.303,0.035,neutral
00-0031588,Stefon Diggs,WR,NE,2026,4,BUF,False,0.17,0.0,0.0,0.92,0.01,4.15,44.92,0.28,0.01,10.46,10.46,1.066,0.984,0.721,-0.564,neutral
00-0031588,Stefon Diggs,WR,NE,2026,5,LV,False,0.18,0.0,0.0,0.85,0.0,4.31,46.61,0.29,0.01,10.84,10.84,0.982,1.021,-0.372,0.389,neutral
00-0031588,Stefon Diggs,WR,NE,2026,6,NYJ,False,0.19,0.0,0.0,0.91,0.01,4.5,48.71,0.31,0.01,11.34,11.34,1.043,1.067,0.424,1.582,soft
00-0031588,Stefon Diggs,WR,NE,2026,7,CHI,False,0.17,0.0,0.0,0.91,0.01,4.23,45.75,0.29,0.01,10.65,10.65,1.044,1.002,0.439,-0.095,neutral
00-0031588,Stefon Diggs,WR,NE,2026,8,MIA,False,0.18,0.0,0.0,0.89,0.01,4.32,46.68,0.29,0.01,10.86,10.86,1.02,1.023,0.127,0.433,neutral
00-0031588,Stefon Diggs,WR,NE,2026,9,GB,False,0.17,0.0,0.0,0.86,0.0,4.22,45.67,0.29,0.01,10.63,10.63,0.986,1.0,-0.317,-0.143,neutral
00-0031588,Stefon Diggs,WR,NE,2026,10,DET,False,0.17,0.0,0.0,0.88,0.01,4.15,44.91,0.28,0.01,10.45,10.45,1.019,0.984,0.106,-0.572,neutral
00-0031588,Stefon Diggs,WR,NE,2026,11,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0031588,Stefon Diggs,WR,NE,2026,12,LAC,False,0.17,0.0,0.0,0.82,0.0,4.06,43.94,0.28,0.01,10.22,10.22,0.95,0.962,-0.788,-1.121,neutral
00-0031588,Stefon Diggs,WR,NE,2026,13,BUF,False,0.17,0.0,0.0,0.92,0.01,4.15,44.92,0.28,0.01,10.46,10.46,1.066,0.984,0.721,-0.564,neutral
00-0031588,Stefon Diggs,WR,NE,2026,14,MIN,False,0.17,0.0,0.0,0.82,0.0,4.01,43.42,0.27,0.01,10.1,10.1,0.949,0.951,-0.812,-1.413,neutral
00-0031588,Stefon Diggs,WR,NE,2026,15,KC,False,0.17,0.0,0.0,0.84,0.0,4.24,45.84,0.29,0.01,10.66,10.66,0.967,1.004,-0.567,-0.046,neutral
00-0031588,Stefon Diggs,WR,NE,2026,16,NYJ,False,0.19,0.0,0.0,0.91,0.01,4.5,48.71,0.31,0.01,11.34,11.34,1.043,1.067,0.424,1.582,soft
00-0031588,Stefon Diggs,WR,NE,2026,17,DEN,False,0.17,0.0,0.0,0.82,0.0,4.04,43.72,0.28,0.01,10.17,10.17,0.941,0.958,-0.906,-1.245,neutral
00-0031588,Stefon Diggs,WR,NE,2026,18,MIA,False,0.18,0.0,0.0,0.89,0.01,4.32,46.68,0.29,0.01,10.86,10.86,1.02,1.023,0.127,0.433,neutral
00-0038951,Sean Tucker,RB,TB,2026,1,CIN,False,0.02,0.0,0.0,24.83,0.25,1.38,11.01,0.04,0.02,6.69,6.69,1.135,1.031,1.385,0.805,soft
00-0038951,Sean Tucker,RB,TB,2026,2,CLE,False,0.02,0.0,0.0,20.85,0.21,1.31,10.42,0.04,0.02,5.9,5.9,0.954,0.976,-0.226,-0.803,neutral
00-0038951,Sean Tucker,RB,TB,2026,3,MIN,False,0.02,0.0,0.0,19.41,0.2,1.28,10.19,0.04,0.02,5.61,5.61,0.887,0.955,-0.812,-1.413,tough
00-0038951,Sean Tucker,RB,TB,2026,4,GB,False,0.02,0.0,0.0,20.63,0.21,1.34,10.66,0.04,0.02,5.92,5.92,0.943,0.998,-0.317,-0.143,neutral
00-0038951,Sean Tucker,RB,TB,2026,5,DAL,False,0.02,0.0,0.0,25.66,0.26,1.39,11.08,0.04,0.02,6.84,6.84,1.173,1.038,1.719,0.996,soft
00-0038951,Sean Tucker,RB,TB,2026,6,PIT,False,0.02,0.0,0.0,21.89,0.22,1.33,10.6,0.04,0.02,6.11,6.11,1.001,0.993,0.195,-0.292,neutral
00-0038951,Sean Tucker,RB,TB,2026,7,CAR,False,0.02,0.0,0.0,24.42,0.25,1.39,11.09,0.04,0.02,6.64,6.64,1.116,1.038,1.217,1.023,soft
00-0038951,Sean Tucker,RB,TB,2026,8,ATL,False,0.02,0.0,0.0,22.4,0.23,1.35,10.72,0.04,0.02,6.22,6.22,1.024,1.004,0.399,0.022,neutral
00-0038951,Sean Tucker,RB,TB,2026,9,CHI,False,0.02,0.0,0.0,22.5,0.23,1.34,10.68,0.04,0.02,6.23,6.23,1.029,1.0,0.439,-0.095,neutral
00-0038951,Sean Tucker,RB,TB,2026,10,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0038951,Sean Tucker,RB,TB,2026,11,DET,False,0.02,0.0,0.0,21.68,0.22,1.32,10.5,0.04,0.02,6.05,6.05,0.991,0.984,0.106,-0.572,neutral
00-0038951,Sean Tucker,RB,TB,2026,12,CAR,False,0.02,0.0,0.0,24.42,0.25,1.39,11.09,0.04,0.02,6.64,6.64,1.116,1.038,1.217,1.023,soft
00-0038951,Sean Tucker,RB,TB,2026,13,LAC,False,0.02,0.0,0.0,19.47,0.2,1.29,10.3,0.04,0.02,5.65,5.65,0.89,0.965,-0.788,-1.121,tough
00-0038951,Sean Tucker,RB,TB,2026,14,BAL,False,0.02,0.0,0.0,18.95,0.19,1.35,10.76,0.04,0.02,5.68,5.68,0.867,1.008,-0.997,0.123,tough
00-0038951,Sean Tucker,RB,TB,2026,15,NO,False,0.02,0.0,0.0,20.76,0.21,1.33,10.57,0.04,0.02,5.92,5.92,0.949,0.99,-0.266,-0.383,neutral
00-0038951,Sean Tucker,RB,TB,2026,16,ATL,False,0.02,0.0,0.0,22.4,0.23,1.35,10.72,0.04,0.02,6.22,6.22,1.024,1.004,0.399,0.022,neutral
00-0038951,Sean Tucker,RB,TB,2026,17,LA,False,0.02,0.0,0.0,20.8,0.21,1.33,10.55,0.04,0.02,5.92,5.92,0.951,0.988,-0.248,-0.434,neutral
00-0038951,Sean Tucker,RB,TB,2026,18,NO,False,0.02,0.0,0.0,20.76,0.21,1.33,10.57,0.04,0.02,5.92,5.92,0.949,0.99,-0.266,-0.383,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,1,LA,False,0.02,0.0,0.0,35.1,0.34,3.56,27.36,0.2,0.09,12.87,12.87,0.985,0.989,-0.248,-0.434,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,2,MIA,False,0.02,0.0,0.0,36.66,0.36,3.67,28.18,0.2,0.09,13.34,13.34,1.028,1.019,0.127,0.433,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,3,ARI,False,0.02,0.0,0.0,37.87,0.37,3.72,28.57,0.21,0.09,13.64,13.64,1.063,1.033,0.418,0.837,soft
00-0033280,Christian McCaffrey,RB,SF,2026,4,DEN,False,0.02,0.0,0.0,32.35,0.31,3.46,26.58,0.19,0.09,12.22,12.22,0.908,0.961,-0.906,-1.245,tough
00-0033280,Christian McCaffrey,RB,SF,2026,5,SEA,False,0.02,0.0,0.0,29.47,0.29,3.5,26.88,0.19,0.09,11.85,11.85,0.827,0.972,-1.597,-0.932,tough
00-0033280,Christian McCaffrey,RB,SF,2026,6,WAS,False,0.02,0.0,0.0,41.13,0.4,3.76,28.87,0.21,0.09,14.24,14.24,1.154,1.044,1.2,1.153,soft
00-0033280,Christian McCaffrey,RB,SF,2026,7,ATL,False,0.02,0.0,0.0,37.79,0.37,3.62,27.79,0.2,0.09,13.41,13.41,1.06,1.005,0.399,0.022,soft
00-0033280,Christian McCaffrey,RB,SF,2026,8,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0033280,Christian McCaffrey,RB,SF,2026,9,LV,False,0.02,0.0,0.0,34.58,0.34,3.66,28.14,0.2,0.09,13.0,13.0,0.97,1.018,-0.372,0.389,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,10,DAL,False,0.02,0.0,0.0,43.29,0.42,3.74,28.72,0.21,0.09,14.54,14.54,1.215,1.039,1.719,0.996,soft
00-0033280,Christian McCaffrey,RB,SF,2026,11,MIN,False,0.02,0.0,0.0,32.74,0.32,3.44,26.42,0.19,0.09,12.24,12.24,0.919,0.956,-0.812,-1.413,tough
00-0033280,Christian McCaffrey,RB,SF,2026,12,SEA,False,0.02,0.0,0.0,29.47,0.29,3.5,26.88,0.19,0.09,11.85,11.85,0.827,0.972,-1.597,-0.932,tough
00-0033280,Christian McCaffrey,RB,SF,2026,13,NYG,False,0.02,0.0,0.0,43.69,0.43,3.7,28.43,0.2,0.09,14.52,14.52,1.226,1.028,1.816,0.697,soft
00-0033280,Christian McCaffrey,RB,SF,2026,14,LA,False,0.02,0.0,0.0,35.1,0.34,3.56,27.36,0.2,0.09,12.87,12.87,0.985,0.989,-0.248,-0.434,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,15,LAC,False,0.02,0.0,0.0,32.84,0.32,3.48,26.7,0.19,0.09,12.33,12.33,0.922,0.966,-0.788,-1.121,tough
00-0033280,Christian McCaffrey,RB,SF,2026,16,KC,False,0.02,0.0,0.0,33.77,0.33,3.61,27.73,0.2,0.09,12.76,12.76,0.947,1.003,-0.567,-0.046,neutral
00-0033280,Christian McCaffrey,RB,SF,2026,17,PHI,False,0.02,0.0,0.0,32.19,0.31,3.5,26.87,0.19,0.09,12.28,12.28,0.903,0.972,-0.945,-0.941,tough
00-0033280,Christian McCaffrey,RB,SF,2026,18,ARI,False,0.02,0.0,0.0,37.87,0.37,3.72,28.57,0.21,0.09,13.64,13.64,1.063,1.033,0.418,0.837,soft
00-0033077,Dak Prescott,QB,DAL,2026,1,NYG,False,338.25,2.17,1.24,17.4,0.13,0.01,0.0,0.0,0.2,21.88,21.88,1.074,1.026,1.816,0.697,neutral
00-0033077,Dak Prescott,QB,DAL,2026,2,WAS,False,345.04,2.22,1.24,17.0,0.13,0.01,0.0,0.0,0.2,22.27,22.27,1.049,1.046,1.2,1.153,neutral
00-0033077,Dak Prescott,QB,DAL,2026,3,BAL,False,329.68,2.12,1.24,15.59,0.12,0.01,0.0,0.0,0.2,21.05,21.05,0.962,1.0,-0.997,0.123,neutral
00-0033077,Dak Prescott,QB,DAL,2026,4,HOU,False,308.6,1.98,1.24,15.57,0.12,0.01,0.0,0.0,0.2,19.66,19.66,0.961,0.936,-1.032,-1.291,tough
00-0033077,Dak Prescott,QB,DAL,2026,5,TB,False,331.12,2.13,1.24,15.66,0.12,0.01,0.0,0.0,0.2,21.16,21.16,0.967,1.004,-0.88,0.22,neutral
00-0033077,Dak Prescott,QB,DAL,2026,6,GB,False,325.72,2.09,1.24,16.03,0.12,0.01,0.0,0.0,0.2,20.86,20.86,0.989,0.988,-0.317,-0.143,neutral
00-0033077,Dak Prescott,QB,DAL,2026,7,PHI,False,313.82,2.02,1.24,15.62,0.12,0.01,0.0,0.0,0.2,20.01,20.01,0.964,0.952,-0.945,-0.941,neutral
00-0033077,Dak Prescott,QB,DAL,2026,8,ARI,False,340.33,2.19,1.24,16.5,0.12,0.01,0.0,0.0,0.2,21.88,21.88,1.018,1.032,0.418,0.837,neutral
00-0033077,Dak Prescott,QB,DAL,2026,9,IND,False,331.92,2.13,1.24,15.84,0.12,0.01,0.0,0.0,0.2,21.24,21.24,0.978,1.007,-0.599,0.273,neutral
00-0033077,Dak Prescott,QB,DAL,2026,10,SF,False,336.75,2.16,1.24,16.42,0.12,0.01,0.0,0.0,0.2,21.64,21.64,1.014,1.021,0.3,0.597,neutral
00-0033077,Dak Prescott,QB,DAL,2026,11,TEN,False,343.29,2.21,1.24,16.49,0.12,0.01,0.0,0.0,0.2,22.08,22.08,1.018,1.041,0.412,1.035,neutral
00-0033077,Dak Prescott,QB,DAL,2026,12,PHI,False,313.82,2.02,1.24,15.62,0.12,0.01,0.0,0.0,0.2,20.01,20.01,0.964,0.952,-0.945,-0.941,neutral
00-0033077,Dak Prescott,QB,DAL,2026,13,SEA,False,313.95,2.02,1.24,15.2,0.12,0.01,0.0,0.0,0.2,19.96,19.96,0.938,0.952,-1.597,-0.932,neutral
00-0033077,Dak Prescott,QB,DAL,2026,14,BYE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,bye
00-0033077,Dak Prescott,QB,DAL,2026,15,LA,False,321.37,2.06,1.24,16.07,0.12,0.01,0.0,0.0,0.2,20.58,20.58,0.992,0.975,-0.248,-0.434,neutral
00-0033077,Dak Prescott,QB,DAL,2026,16,JAX,False,328.37,2.11,1.24,16.03,0.12,0.01,0.0,0.0,0.2,21.03,21.03,0.99,0.996,-0.303,0.035,neutral
00-0033077,Dak Prescott,QB,DAL,2026,17,NYG,False,338.25,2.17,1.24,17.4,0.13,0.01,0.0,0.0,0.2,21.88,21.88,1.074,1.026,1.816,0.697,neutral
00-0033077,Dak Prescott,QB,DAL,2026,18,WAS,False,345.04,2.22,1.24,17.0,0.13,0.01,0.0,0.0,0.2,22.27,22.27,1.049,1.046,1.2,1.153,neutral
00-0039041,Elijah Higgins,TE,ARI,2026,1,LAC,False,0.36,0.0,0.0,0.0,0.0,1.78,14.56,0.15,0.01,4.15,4.15,1.0,0.945,-0.788,-1.121,neutral
