gsis_id,player_name,position,team,season,game_weeks,expected_games,projected_games_model,weekly_sum_points,weekly_sum_points_ppr_basis,best_matchup_week,worst_matchup_week,weekly_sum_availability_adj,proj_passing_yards,proj_passing_tds,proj_interceptions,proj_rushing_yards,proj_rushing_tds,proj_receptions,proj_receiving_yards,proj_receiving_tds,proj_fumbles_lost,synthetic_adp_rank,projected_ppr_17,projected_season_ppr,diff_vs_pace,ratio_vs_pace
00-0034857,Josh Allen,QB,BUF,2026,17,13.3,14.6,408.08,408.08,10,9,350.53,3674.6,30.5,6.9,426.4,4.3,0.1,0.0,0.0,2.5,11,404.03,316.05,4.05,1.01
00-0040691,Jaxson Dart,QB,NYG,2026,17,13.3,12.74,403.43,403.43,5,7,302.36,3560.4,26.8,10.2,506.9,7.1,0.1,0.8,0.0,3.8,59,336.88,263.52,66.55,1.198
00-0034796,Lamar Jackson,QB,BAL,2026,17,13.3,15.66,394.0,394.0,4,12,363.05,4117.5,26.7,7.1,374.7,3.0,0.0,0.0,0.0,2.2,9,412.34,322.55,-18.34,0.956
00-0039918,Caleb Williams,QB,CHI,2026,17,13.3,15.3,392.9,392.9,4,2,353.54,3614.6,29.9,10.4,433.7,4.1,0.3,1.8,0.0,2.4,88,313.82,245.48,79.08,1.252
00-0036389,Jalen Hurts,QB,PHI,2026,17,13.3,15.88,373.8,373.8,1,16,349.16,3686.6,26.6,9.4,336.8,4.7,0.0,0.0,0.0,2.6,52,347.32,271.69,26.48,1.076
00-0037834,Brock Purdy,QB,SF,2026,17,13.3,13.93,372.42,372.42,6,11,305.08,4003.4,28.2,8.9,332.1,1.9,0.2,0.0,0.0,4.3,71,322.69,252.42,49.73,1.154
00-0039139,Jahmyr Gibbs,RB,DET,2026,17,13.0,11.06,361.28,361.28,16,11,235.15,0.2,0.0,0.0,822.1,11.6,57.0,471.2,3.6,0.6,1,391.69,299.6,-30.41,0.922
00-0033077,Dak Prescott,QB,DAL,2026,17,13.3,17.0,359.45,359.45,2,4,359.55,4384.7,28.2,16.5,215.5,1.6,0.1,0.0,0.0,2.7,97,308.1,241.01,51.35,1.167
00-0033106,Jared Goff,QB,DET,2026,17,13.3,15.01,358.64,358.64,3,8,316.7,4290.1,29.6,9.8,79.5,1.4,0.0,1.0,0.0,3.4,61,335.77,262.65,22.87,1.068
00-0039851,Drake Maye,QB,NE,2026,17,13.3,15.29,351.69,351.69,6,14,316.36,3562.5,25.9,12.5,344.8,4.1,0.0,0.0,0.0,2.6,85,314.68,246.16,37.01,1.118
00-0036355,Justin Herbert,QB,LAC,2026,17,13.3,15.22,351.06,351.06,11,9,314.34,3623.5,22.8,8.3,319.2,4.8,0.3,1.6,0.0,3.2,47,352.31,275.59,-1.25,0.996
00-0033873,Patrick Mahomes,QB,KC,2026,17,13.3,13.84,346.59,346.59,9,1,282.19,3590.3,25.8,5.7,252.7,2.5,0.1,0.5,0.0,2.4,72,319.78,250.14,26.81,1.084
00-0034855,Baker Mayfield,QB,TB,2026,17,13.3,13.75,343.36,343.36,7,3,277.79,3475.7,24.9,9.7,370.7,2.7,0.2,0.0,0.0,2.0,40,355.8,278.32,-12.44,0.965
00-0039910,Jayden Daniels,QB,WAS,2026,17,13.3,13.49,342.4,342.4,13,16,271.77,3057.5,26.3,6.8,483.6,2.1,0.2,0.4,0.0,3.7,95,308.42,241.26,33.98,1.11
