hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2021,Quinn Ewers,QB,1,5,99.61693548387096,1.0,5.0,6.1,"Southlake, TX",Southlake Carroll,TX,97493,industry_comparison
2021,Caleb Williams,QB,7,5,98.76189516129033,6.0,5.0,6.1,"Washington, DC",Gonzaga,DC,17251,industry_comparison
2021,Ja'Tavion Sanders,ATH,12,5,97.96195652173914,14.0,5.0,6.1,"Denton, TX",Ryan,TX,50698,industry_comparison
2021,Emeka Egbuka,WR,15,5,97.84467917251051,11.0,5.0,6.1,"Steilacoom, WA",Steilacoom,WA,41658,industry_comparison
2021,Sam Huard,QB,16,5,97.82286115007012,17.0,5.0,6.1,"Bellevue, WA",Kennedy Catholic,WA,143482,industry_comparison
2021,TreVeyon Henderson,RB,19,5,97.5029803646564,81.0,4.0,5.9,"Hopewell, VA",Hopewell,VA,115512,industry_comparison
2021,Brock Vandagriff,QB,23,5,97.20802068723704,8.0,5.0,6.1,"Bogart, GA",Prince Avenue Christian,GA,15115,industry_comparison
2021,Kyle McCord,QB,25,5,97.07302769985974,35.0,4.0,6.0,"Philadelphia, PA",St. Joseph's Prep School,PA,76778,industry_comparison
2021,Ja'Corey Brooks,WR,30,5,96.87831346423563,37.0,4.0,6.0,"Bradenton, FL",IMG Academy,FL,52423,industry_comparison
2021,Ty Thompson,QB,31,5,96.77277349228612,10.0,5.0,6.1,"Gilbert, AZ",Mesquite,AZ,117120,industry_comparison
2021,Mario Williams,WR,33,4,96.69952664796634,16.0,5.0,6.1,"Plant City, FL",Plant City,FL,83269,industry_comparison
2021,Donovan Edwards,RB,34,4,96.60271739130435,59.0,4.0,6.0,"West Bloomfield, MI",West Bloomfield,MI,38163,industry_comparison
2021,Will Shipley,RB,36,4,96.55499649368863,50.0,4.0,6.0,"Matthews, NC",Weddington,NC,121044,industry_comparison
2021,Agiye Hall,WR,37,4,96.3743513323983,72.0,4.0,5.9,"Valrico, FL",Bloomingdale,FL,1813,industry_comparison
2021,Camar Wheaton,RB,40,4,96.27474579242636,29.0,5.0,6.1,"Garland, TX",Lakeview Centennial,TX,17553,industry_comparison
2021,Jaxson Dart,QB,42,4,96.22709502103788,107.0,4.0,5.9,"Draper, UT",Corner Canyon,UT,58358,industry_comparison
2021,Troy Franklin,WR,43,4,96.225,34.0,4.0,6.0,"Menlo Park, CA",Menlo-Atherton,CA,116626,industry_comparison
2021,JoJo Earle,WR,44,4,96.19375,42.0,4.0,6.0,"Aledo, TX",Aledo,TX,64152,industry_comparison
2021,Drake Maye,QB,45,4,96.10916023842918,147.0,4.0,5.9,"Charlotte, NC",Myers Park,NC,38809,industry_comparison
2021,J.J. McCarthy,QB,47,4,96.08094319775596,45.0,4.0,6.0,"La Grange Park, IL",IMG Academy,IL,50402,industry_comparison
2021,Jake Garcia,QB,53,4,95.87161640953717,47.0,4.0,6.0,"Loganville, GA",Grayson,GA,53483,industry_comparison
2021,Xavier Worthy,WR,55,4,95.7569950911641,67.0,4.0,5.9,"Fresno, CA",Central East,CA,122221,industry_comparison
2021,LJ Johnson,RB,57,4,95.60190217391305,44.0,4.0,6.0,"Cypress, TX",Cy-Fair,TX,144333,industry_comparison
2021,Christian Leary,WR,59,4,95.56929347826086,58.0,4.0,6.0,"Orlando, FL",Edgewater,FL,22993,industry_comparison
2021,Billy Bowman,ATH,60,4,95.56521739130436,48.0,4.0,6.0,"Denton, TX",Ryan,TX,10438,industry_comparison
2021,Brock Bowers,TE,66,4,95.27961956521739,118.0,4.0,5.9,"Napa, CA",Napa,CA,15010,industry_comparison
2021,Thomas Fidone,TE,67,4,95.26983695652174,36.0,4.0,6.0,"Council Bluffs, IA",Lewis Central,IA,112310,industry_comparison
2021,Lorenzo Styles Jr.,WR,70,4,95.1741847826087,56.0,4.0,6.0,"Pickerington, OH",Pickerington Central,OH,80128,industry_comparison
2021,Dont'e Thornton,WR,71,4,95.14130434782608,62.0,4.0,6.0,"Baltimore, MD",Mount Saint Joseph,MD,38296,industry_comparison
2021,Marvin Harrison Jr.,WR,73,4,95.07455294530155,87.0,4.0,5.9,"Philadelphia, PA",St. Joseph's Prep School,PA,84618,industry_comparison
2021,Deion Smith,WR,74,4,94.99782608695652,69.0,4.0,5.9,"Jackson, MS",Jackson Academy,MS,33368,industry_comparison
2021,Chris Hilton,WR,79,4,94.76195652173914,70.0,4.0,5.9,"Zachary, LA",Zachary,LA,21914,industry_comparison
2021,Jayden Ballard,WR,84,4,94.6788043478261,221.0,4.0,5.8,"Massillon, OH",Washington,OH,58601,industry_comparison
2021,Garrett Nussmeier,QB,88,4,94.53750000000002,80.0,4.0,5.9,"Flower Mound, TX",Marcus,TX,45029,industry_comparison
2021,Jalen Milroe,QB,89,4,94.49918478260872,77.0,4.0,5.9,"Katy, TX",Tompkins,TX,54407,industry_comparison
2021,Evan Pryor,RB,91,4,94.48152173913044,74.0,4.0,5.9,"Cornelius, NC",William Amos Hough,NC,43376,industry_comparison
2021,Brian Thomas Jr.,WR,92,4,94.45978260869565,141.0,4.0,5.9,"Walker, LA",Walker,LA,14800,industry_comparison
2021,Tyler Buchner,QB,93,4,94.45815217391304,113.0,4.0,5.9,"La Jolla, CA",Helix,CA,117404,industry_comparison
2021,Jake Briningstool,TE,95,4,94.34728260869564,73.0,4.0,5.9,"Brentwood, TN",Ravenwood,TN,53357,industry_comparison
2021,Beaux Collins,WR,97,4,94.33097826086959,63.0,4.0,6.0,"Bellflower, CA",St. John Bosco,CA,9553,industry_comparison
2021,Deion Colzie,WR,101,4,94.25353260869566,145.0,4.0,5.9,"Athens, GA",Athens Academy,GA,33338,industry_comparison
2021,Armoni Goodwin,RB,104,4,94.1404891304348,150.0,4.0,5.9,"Trussville, AL",Hewitt-Trussville,AL,7578,industry_comparison
2021,Destyn Hill,WR,109,4,93.84510869565216,167.0,4.0,5.8,"New Orleans, LA",Edna Karr,LA,35690,industry_comparison
2021,Kadarius Calloway,ATH,113,4,93.60815217391306,52.0,4.0,6.0,"Philadelphia, MS",Philadelphia,MS,70299,industry_comparison
2021,Lovasea Carroll,ATH,115,4,93.45489130434784,133.0,4.0,5.9,"Bradenton, FL",IMG Academy,FL,80256,industry_comparison
2021,Cody Jackson,WR,117,4,93.38913043478261,212.0,4.0,5.8,"Richmond, TX",Foster,TX,144084,industry_comparison
